JobID,QualificationType,FieldOfStudy,MinimumGrade,OtherDetails
1316,Bachelor's Degree,,Merit,
1316,Master's Degree,General,,
1317,Bachelor's Degree,Commerce,Distinction,
1317,Master's Degree,General,,
1317,O/L,,,
1318,Bachelor's Degree,,,
1318,Master's Degree,General,Distinction,
1319,A/L,Science,Merit,
1319,Bachelor's Degree,Arts,Distinction,
1320,A/L,Commerce,Merit,
1320,Bachelor's Degree,Technology,Merit,
1321,A/L,General,Distinction,
1322,A/L,Technology,,
1322,O/L,Technology,Merit,
1322,Bachelor's Degree,Technology,Distinction,
1323,O/L,Commerce,,
1323,Bachelor's Degree,,Distinction,
1324,Master's Degree,Technology,Pass,
1324,A/L,Science,Distinction,
1324,O/L,Technology,Pass,
1325,A/L,Science,,
1326,Bachelor's Degree,Science,Distinction,
1327,Master's Degree,Commerce,Merit,
1328,Master's Degree,Arts,Pass,
1328,Bachelor's Degree,Science,Pass,
1329,A/L,Science,Pass,
1329,Master's Degree,,Pass,
1329,O/L,Technology,,
1330,A/L,General,Pass,
1330,Master's Degree,General,,
1331,Bachelor's Degree,Science,Merit,
1332,A/L,,Merit,
1333,Bachelor's Degree,Science,Distinction,
1333,Master's Degree,General,Distinction,
1334,O/L,Arts,Pass,
1334,Master's Degree,,Pass,
1335,Master's Degree,Commerce,Merit,
1336,Master's Degree,Commerce,Merit,
1336,Bachelor's Degree,Science,Pass,
1336,A/L,Arts,Pass,
1337,Bachelor's Degree,,Distinction,
1337,Master's Degree,Technology,,
1338,Bachelor's Degree,Technology,Merit,
1338,A/L,General,,
1339,Master's Degree,Science,Distinction,
1340,A/L,General,Pass,
1341,O/L,Technology,Distinction,
1341,A/L,Technology,Merit,
1341,Bachelor's Degree,Science,Merit,
1342,O/L,General,Pass,
1342,Master's Degree,Science,Merit,
1342,A/L,General,Merit,
1343,A/L,General,Pass,
1343,Master's Degree,Science,Merit,
1343,Bachelor's Degree,General,,
1344,Master's Degree,Technology,Pass,
1344,O/L,Science,Distinction,
1344,A/L,Arts,,
1345,Bachelor's Degree,Technology,Merit,
1345,O/L,Technology,Pass,
1346,Master's Degree,General,Pass,
1346,O/L,Technology,Merit,
1347,Master's Degree,Arts,,
1347,A/L,General,Pass,
1347,O/L,Commerce,Pass,
1348,Bachelor's Degree,Technology,,
1348,O/L,Arts,Distinction,
1348,Master's Degree,Technology,Distinction,
1349,A/L,General,Merit,
1349,Bachelor's Degree,General,Merit,
1350,Bachelor's Degree,Commerce,Distinction,
1351,A/L,,Distinction,
1351,Bachelor's Degree,Arts,,
1352,Bachelor's Degree,Commerce,Pass,
1353,Master's Degree,Commerce,Distinction,
1353,O/L,General,Merit,
1353,Bachelor's Degree,Technology,Merit,
1354,A/L,Technology,Merit,
1354,Bachelor's Degree,,Distinction,
1355,Bachelor's Degree,Arts,Merit,
1355,A/L,Arts,Pass,
1355,Master's Degree,Arts,,
1356,Master's Degree,General,Distinction,
1357,Master's Degree,General,,
1357,O/L,Technology,Distinction,
1357,A/L,,Pass,
1358,Bachelor's Degree,General,Pass,
1358,A/L,General,Distinction,
1359,O/L,,,
1359,Master's Degree,Technology,Distinction,
1360,O/L,General,Pass,
1360,A/L,,Distinction,
1361,Bachelor's Degree,General,,
1361,O/L,Technology,,
1361,Master's Degree,,Merit,
1362,O/L,Technology,Merit,
1363,Master's Degree,Arts,Pass,
1363,O/L,Science,Pass,
1364,Bachelor's Degree,Science,Distinction,
1364,Master's Degree,Technology,Pass,
1364,O/L,,Distinction,
1365,A/L,Science,Pass,
1365,Bachelor's Degree,Arts,Merit,
1365,Master's Degree,Commerce,Merit,
1366,O/L,,,
1367,Bachelor's Degree,,Pass,
1367,Master's Degree,Technology,,
1368,A/L,Technology,Distinction,
1368,O/L,Technology,Distinction,
1369,A/L,Science,Pass,
1370,Master's Degree,,Merit,
1371,Bachelor's Degree,,,
1372,O/L,Technology,Merit,
1372,A/L,Technology,Pass,
1372,Bachelor's Degree,,,
1373,Master's Degree,Science,Merit,
1374,O/L,Technology,,
1374,A/L,,Merit,
1375,Master's Degree,,Merit,
1375,Bachelor's Degree,General,Pass,
1375,O/L,General,Distinction,
1376,Bachelor's Degree,,,
1376,Master's Degree,Arts,Distinction,
1377,O/L,,Distinction,
1378,Bachelor's Degree,General,Pass,
1378,O/L,Technology,Merit,
1378,A/L,Technology,,
1379,A/L,Science,,
1379,Master's Degree,Technology,Pass,
1380,O/L,Arts,Pass,
1380,Master's Degree,Technology,Pass,
1381,O/L,Commerce,Pass,
1381,A/L,Commerce,Distinction,
1381,Bachelor's Degree,Commerce,Pass,
1382,A/L,Science,Pass,
1382,Bachelor's Degree,Technology,Merit,
1382,O/L,General,Merit,
1383,Master's Degree,Arts,Merit,
1384,A/L,General,Distinction,
1385,Master's Degree,General,Pass,
1386,O/L,Technology,,
1386,A/L,Arts,,
1386,Bachelor's Degree,Arts,Merit,
1387,Master's Degree,Arts,Distinction,
1387,Bachelor's Degree,,,
1387,O/L,Science,Pass,
1388,Master's Degree,,Pass,
1388,O/L,General,Distinction,
1388,A/L,Commerce,Pass,
1389,O/L,Arts,Merit,
1389,Bachelor's Degree,Commerce,Pass,
1390,Master's Degree,Commerce,Distinction,
1391,Bachelor's Degree,Arts,,
1391,A/L,Technology,Pass,
1391,Master's Degree,,Distinction,
1392,Bachelor's Degree,Commerce,,
1392,O/L,,Pass,
1392,Master's Degree,Technology,Pass,
1393,O/L,Science,,
1394,A/L,Arts,Distinction,
1394,Master's Degree,Commerce,Pass,
1395,Master's Degree,General,Pass,
1396,Master's Degree,General,Pass,
1396,Bachelor's Degree,Technology,Distinction,
1396,O/L,General,,
1397,O/L,Technology,Distinction,
1397,A/L,Science,Distinction,
1397,Bachelor's Degree,Arts,Distinction,
1398,A/L,Science,Merit,
1398,Master's Degree,Technology,,
1398,O/L,,Merit,
1399,Master's Degree,Technology,Pass,
1399,Bachelor's Degree,Commerce,Distinction,
1400,Master's Degree,Science,Pass,
1400,A/L,General,Distinction,
1400,Bachelor's Degree,Commerce,Merit,
1401,Master's Degree,Arts,Merit,
1401,O/L,Arts,Merit,
1402,O/L,Arts,Pass,
1402,Bachelor's Degree,Commerce,Distinction,
1402,A/L,Technology,Pass,
1403,O/L,Commerce,Distinction,
1403,A/L,Science,Merit,
1403,Master's Degree,Technology,,
1404,Bachelor's Degree,Science,Merit,
1404,A/L,General,,
1405,Master's Degree,Science,Pass,
1406,Bachelor's Degree,Technology,Distinction,
1407,Bachelor's Degree,,Pass,
1407,A/L,General,,
1408,Master's Degree,Arts,Merit,
1409,Master's Degree,Arts,Merit,
1409,O/L,,Pass,
1409,Bachelor's Degree,,Distinction,
1410,O/L,,Pass,
1411,Master's Degree,Commerce,,
1412,Master's Degree,General,Pass,
1412,A/L,Arts,,
1412,Bachelor's Degree,Technology,,
1413,Bachelor's Degree,Technology,Distinction,
1413,O/L,,Merit,
1414,A/L,Science,Merit,
1414,Master's Degree,Technology,Distinction,
1415,Bachelor's Degree,Technology,,
1416,Master's Degree,Technology,,
1416,A/L,,Distinction,
1417,O/L,General,Merit,
1417,Master's Degree,,Merit,
1418,O/L,Technology,Distinction,
1418,Master's Degree,Arts,,
1419,A/L,,Merit,
1419,Bachelor's Degree,Science,Distinction,
1420,O/L,General,Distinction,
1421,A/L,Arts,Merit,
1421,Bachelor's Degree,General,,
1422,A/L,Science,Merit,
1422,O/L,Arts,Pass,
1423,Bachelor's Degree,Technology,Distinction,
1423,Master's Degree,General,Distinction,
1424,Master's Degree,Arts,Merit,
1424,A/L,Commerce,Merit,
1424,Bachelor's Degree,Commerce,Distinction,
1425,O/L,Commerce,Merit,
1426,Master's Degree,Commerce,Pass,
1426,O/L,Science,,
1426,Bachelor's Degree,Technology,Pass,
1427,A/L,Science,Merit,
1427,Master's Degree,General,Merit,
1428,A/L,General,,
1428,O/L,Technology,,
1428,Bachelor's Degree,Technology,Pass,
1429,Master's Degree,Commerce,Merit,
1429,O/L,,,
1430,A/L,Science,,
1430,Bachelor's Degree,Arts,,
1431,Master's Degree,,Pass,
1432,O/L,Technology,Distinction,
1432,Master's Degree,Science,Distinction,
1433,Master's Degree,Commerce,Merit,
1433,A/L,Arts,Pass,
1434,O/L,General,,
1434,Master's Degree,,Pass,
1434,A/L,General,Distinction,
1435,O/L,Arts,Merit,
1436,Bachelor's Degree,Commerce,,
1437,Bachelor's Degree,Arts,Distinction,
1437,A/L,Science,Merit,
1438,Bachelor's Degree,Commerce,Merit,
1438,Master's Degree,Science,Pass,
1438,A/L,,Pass,
1439,A/L,Arts,,
1440,Bachelor's Degree,Commerce,Distinction,
1441,Master's Degree,Science,,
1441,O/L,,Merit,
1441,A/L,,Pass,
1442,O/L,General,,
1443,O/L,Commerce,Distinction,
1443,A/L,Arts,,
1444,Bachelor's Degree,,Distinction,
1445,O/L,Commerce,Distinction,
1445,A/L,Technology,Merit,
1445,Master's Degree,,Merit,
1446,Bachelor's Degree,Science,Pass,
1447,A/L,General,Distinction,
1448,O/L,General,Pass,
1448,A/L,General,,
1449,Master's Degree,General,Merit,
1450,Master's Degree,,Pass,
1450,O/L,Commerce,Merit,
1451,O/L,Arts,,
1452,A/L,Technology,Merit,
1452,Master's Degree,Arts,,
1452,O/L,Technology,Merit,
1453,Bachelor's Degree,Arts,Pass,
1453,O/L,Commerce,Merit,
1453,A/L,General,Pass,
1454,Bachelor's Degree,,Merit,
1454,A/L,,Pass,
1455,Bachelor's Degree,Science,Merit,
1455,A/L,Commerce,Pass,
1456,Bachelor's Degree,Arts,Distinction,
1457,O/L,General,Distinction,
1457,A/L,Technology,Pass,
1458,O/L,,Pass,
1458,Master's Degree,Science,Pass,
1459,Master's Degree,Commerce,Distinction,
1460,O/L,,Merit,
1460,A/L,Science,,
1460,Bachelor's Degree,Science,Pass,
1461,Bachelor's Degree,Technology,Merit,
1461,O/L,General,,
1462,A/L,,Merit,
1463,O/L,Technology,Merit,
1463,Master's Degree,Commerce,Merit,
1464,Master's Degree,Science,,
1464,O/L,,Pass,
1465,Master's Degree,Science,Distinction,
1465,Bachelor's Degree,,Merit,
1465,O/L,General,Distinction,
1466,Master's Degree,Technology,Pass,
1467,Master's Degree,,Pass,
1467,A/L,General,,
1467,O/L,Arts,Merit,
1468,Master's Degree,Arts,,
1469,Master's Degree,Arts,Merit,
1469,Bachelor's Degree,Arts,,
1469,O/L,Technology,Merit,
1470,Bachelor's Degree,Commerce,Distinction,
1470,A/L,Arts,Merit,
1471,A/L,General,,
1471,Master's Degree,Commerce,Pass,
1472,Bachelor's Degree,,Merit,
1473,Master's Degree,Arts,Pass,
1473,A/L,Technology,Distinction,
1473,O/L,,Pass,
1474,Bachelor's Degree,Science,Distinction,
1475,A/L,Arts,,
1475,O/L,Technology,,
1475,Bachelor's Degree,General,Merit,
1476,A/L,Arts,Pass,
1476,O/L,Commerce,,
1477,O/L,General,Merit,
1477,A/L,Science,Distinction,
1477,Master's Degree,,Distinction,
1478,Master's Degree,General,Distinction,
1478,Bachelor's Degree,Arts,,
1479,Master's Degree,General,Pass,
1479,O/L,Technology,Merit,
1479,A/L,General,Pass,
1480,Bachelor's Degree,Commerce,Merit,
1481,Bachelor's Degree,Science,Distinction,
1481,O/L,Arts,Pass,
1482,O/L,Technology,,
1483,Bachelor's Degree,Commerce,Distinction,
1483,O/L,General,Pass,
1484,O/L,,Merit,
1485,O/L,Commerce,Pass,
1485,A/L,Technology,Merit,
1486,Master's Degree,Arts,Pass,
1486,A/L,Commerce,,
1486,Bachelor's Degree,General,Distinction,
1487,A/L,Technology,Merit,
1487,Bachelor's Degree,Commerce,Pass,
1488,O/L,Arts,Distinction,
1488,A/L,,,
1488,Bachelor's Degree,,Merit,
1489,O/L,Technology,Merit,
1489,A/L,Commerce,Merit,
1490,Master's Degree,Commerce,Merit,
1491,A/L,Science,Merit,
1492,Master's Degree,Commerce,Distinction,
1492,Bachelor's Degree,Commerce,,
1493,A/L,Commerce,,
1493,Bachelor's Degree,Science,,
1493,O/L,Arts,,
1494,A/L,Arts,Pass,
1494,Master's Degree,Arts,,
1495,Master's Degree,Science,Distinction,
1495,Bachelor's Degree,Commerce,,
1495,O/L,Science,Distinction,
1496,O/L,Commerce,Distinction,
1496,Master's Degree,Science,Pass,
1496,Bachelor's Degree,,Merit,
1497,O/L,Technology,,
1497,Bachelor's Degree,Commerce,Distinction,
1498,Master's Degree,Science,,
1498,A/L,,Pass,
1499,A/L,Commerce,,
1499,Master's Degree,General,Pass,
1499,O/L,Technology,Merit,
1500,Master's Degree,Science,Pass,
1500,O/L,Arts,Merit,
1501,O/L,Commerce,,
1501,Master's Degree,Science,Distinction,
1502,O/L,Arts,Merit,
1503,Bachelor's Degree,,Pass,
1504,Master's Degree,,,
1505,A/L,Arts,Distinction,
1506,Master's Degree,Technology,Merit,
1506,Bachelor's Degree,Commerce,Pass,
1506,O/L,,Pass,
1507,Master's Degree,Commerce,Pass,
1508,O/L,Commerce,Merit,
1508,A/L,General,,
1509,Bachelor's Degree,General,Pass,
1510,Bachelor's Degree,Science,Pass,
1511,Master's Degree,Arts,Merit,
1512,A/L,General,Distinction,
1512,Bachelor's Degree,Arts,Merit,
1513,A/L,,Merit,
1513,Bachelor's Degree,Commerce,Pass,
1513,Master's Degree,Science,Distinction,
1514,A/L,Commerce,,
1515,A/L,Technology,Pass,
1516,Master's Degree,Science,,
1516,A/L,Science,,
1517,Bachelor's Degree,Science,Merit,
1517,O/L,Commerce,,
1518,Bachelor's Degree,Technology,Pass,
1518,A/L,Arts,Distinction,
1518,O/L,,,
1519,Master's Degree,Science,,
1519,O/L,Arts,,
1520,Master's Degree,Technology,Merit,
1521,O/L,General,,
1521,Master's Degree,Commerce,Merit,
1521,A/L,Science,Pass,
1522,O/L,Science,Merit,
1522,Master's Degree,Technology,Pass,
1523,Master's Degree,General,,
1523,O/L,General,Distinction,
1524,Bachelor's Degree,,Distinction,
1524,Master's Degree,Commerce,,
1525,O/L,Arts,,
1525,A/L,Commerce,,
1525,Bachelor's Degree,Science,Distinction,
1526,Bachelor's Degree,Technology,Distinction,
1526,Master's Degree,Science,,
1527,Master's Degree,Commerce,,
1527,A/L,,Distinction,
1528,O/L,,Distinction,
1528,Bachelor's Degree,Science,Distinction,
1529,O/L,Commerce,Merit,
1529,Master's Degree,Commerce,,
1530,Master's Degree,Technology,Merit,
1531,Bachelor's Degree,,,
1532,Master's Degree,Technology,,
1532,Bachelor's Degree,Science,,
1532,A/L,General,Merit,
1533,Bachelor's Degree,Commerce,Distinction,
1534,A/L,Science,Pass,
1534,Master's Degree,Technology,Distinction,
1535,Bachelor's Degree,Arts,Pass,
1535,O/L,,Distinction,
1535,Master's Degree,General,Pass,
1536,Bachelor's Degree,Commerce,Pass,
1536,A/L,General,Distinction,
1536,Master's Degree,General,,
1537,O/L,,Distinction,
1538,O/L,Science,Merit,
1539,A/L,Science,Pass,
1540,Master's Degree,Commerce,,
1540,O/L,,Merit,
1540,A/L,General,Pass,
1541,Bachelor's Degree,,Pass,
1542,Bachelor's Degree,,Pass,
1542,Master's Degree,Commerce,,
1542,A/L,Technology,Pass,
1543,O/L,,Pass,
1543,Master's Degree,Arts,,
1543,Bachelor's Degree,Commerce,Pass,
1544,A/L,Science,,
1545,Master's Degree,,Pass,
1545,O/L,Science,,
1545,Bachelor's Degree,General,Merit,
1546,O/L,General,Merit,
1546,Bachelor's Degree,Technology,Distinction,
1547,O/L,Technology,Distinction,
1547,A/L,Technology,Pass,
1547,Bachelor's Degree,Science,Merit,
1548,Bachelor's Degree,Commerce,Merit,
1548,A/L,Technology,Merit,
1549,A/L,Technology,Pass,
1549,Bachelor's Degree,General,,
1549,O/L,General,Distinction,
1550,A/L,General,Pass,
1551,Master's Degree,Commerce,,
1552,O/L,,Merit,
1552,A/L,Technology,Distinction,
1552,Master's Degree,,Distinction,
1553,Bachelor's Degree,General,Merit,
1553,A/L,Arts,,
1553,Master's Degree,,Pass,
1554,Bachelor's Degree,,Pass,
1554,O/L,Arts,,
1555,O/L,Technology,Pass,
1555,Bachelor's Degree,Commerce,Pass,
1556,Bachelor's Degree,,Merit,
1556,A/L,Arts,Merit,
1557,Master's Degree,Commerce,Pass,
1558,A/L,,Merit,
1558,Master's Degree,Technology,Pass,
1559,A/L,,Distinction,
1560,A/L,Commerce,Distinction,
1560,O/L,General,Distinction,
1560,Master's Degree,Technology,Pass,
1561,O/L,Commerce,Distinction,
1561,A/L,Arts,Pass,
1561,Bachelor's Degree,Arts,,
1562,Bachelor's Degree,Arts,Pass,
1562,O/L,General,Merit,
1562,Master's Degree,Arts,Distinction,
1563,O/L,Arts,Pass,
1563,Bachelor's Degree,Commerce,Pass,
1564,Bachelor's Degree,General,Distinction,
1565,Master's Degree,Arts,,
1565,Bachelor's Degree,,Distinction,
1565,O/L,Technology,Merit,
1566,O/L,,Merit,
1567,Bachelor's Degree,Commerce,Distinction,
1568,O/L,General,Distinction,
1568,Master's Degree,General,Merit,
1569,O/L,Arts,Merit,
1570,O/L,Technology,Pass,
1570,A/L,,,
1571,O/L,Arts,Pass,
1571,Master's Degree,General,Pass,
1572,Master's Degree,Commerce,Pass,
1572,O/L,Technology,Distinction,
1573,A/L,Technology,,
1574,Bachelor's Degree,General,Distinction,
1574,A/L,Commerce,Merit,
1575,O/L,Technology,,
1575,Master's Degree,Arts,Distinction,
1575,Bachelor's Degree,Science,Pass,
1576,O/L,,Merit,
1577,O/L,,Merit,
1577,Master's Degree,General,Pass,
1577,Bachelor's Degree,General,Distinction,
1578,Master's Degree,,,
1579,O/L,Arts,Merit,
1579,A/L,Arts,,
1580,Master's Degree,Science,Pass,
1580,O/L,Arts,Merit,
1581,O/L,Technology,,
1581,Bachelor's Degree,Commerce,Pass,
1582,Master's Degree,Arts,Distinction,
1582,A/L,,Merit,
1583,O/L,Commerce,Distinction,
1583,A/L,Science,Distinction,
1583,Bachelor's Degree,Arts,Distinction,
1584,Bachelor's Degree,General,Pass,
1585,Bachelor's Degree,Arts,Distinction,
1585,O/L,Technology,Distinction,
1585,A/L,,,
1586,Bachelor's Degree,,,
1586,Master's Degree,General,Pass,
1586,A/L,Arts,Distinction,
1587,Master's Degree,Arts,Pass,
1587,O/L,,Distinction,
1588,O/L,,Distinction,
1588,Master's Degree,Commerce,Distinction,
1589,O/L,Science,Pass,
1589,A/L,Commerce,Distinction,
1590,O/L,,,
1590,Bachelor's Degree,,,
1590,A/L,Arts,,
1591,Master's Degree,General,Merit,
1591,Bachelor's Degree,,,
1591,A/L,Arts,,
1592,Bachelor's Degree,General,Pass,
1592,A/L,,Distinction,
1593,Bachelor's Degree,Arts,Pass,
1593,Master's Degree,Science,Pass,
1593,O/L,Commerce,Merit,
1594,O/L,General,Pass,
1595,Bachelor's Degree,,,
1596,O/L,,Merit,
1597,A/L,Science,,
1598,O/L,,Pass,
1598,Master's Degree,Arts,,
1599,A/L,Technology,,
1599,Bachelor's Degree,,Distinction,
1599,O/L,Science,Pass,
1600,Master's Degree,,Merit,
1600,A/L,General,Distinction,
1600,O/L,Science,Merit,
1601,Master's Degree,,Pass,
1601,Bachelor's Degree,Science,,
1602,Bachelor's Degree,Science,Pass,
1603,A/L,Technology,Merit,
1603,Master's Degree,General,Pass,
1604,Bachelor's Degree,Technology,Distinction,
1604,O/L,General,Pass,
1605,Master's Degree,Technology,,
1605,O/L,,Pass,
1606,A/L,Commerce,,
1606,Master's Degree,General,Pass,
1607,O/L,Commerce,Pass,
1608,A/L,,Pass,
1608,Bachelor's Degree,Science,,
1609,Master's Degree,Technology,Distinction,
1609,A/L,Technology,Distinction,
1609,O/L,,Pass,
1610,Bachelor's Degree,General,Merit,
1611,O/L,Arts,Pass,
1611,Master's Degree,,Distinction,
1612,O/L,Commerce,Pass,
1612,Master's Degree,General,Distinction,
1613,O/L,Arts,,
1613,A/L,Science,Pass,
1614,O/L,Arts,,
1615,O/L,Science,Distinction,
1616,O/L,Technology,Pass,
1616,A/L,Arts,Distinction,
1616,Bachelor's Degree,,Merit,
1617,A/L,Science,Pass,
1617,O/L,Science,Pass,
1618,O/L,Arts,Distinction,
1619,A/L,Technology,Pass,
1619,O/L,Commerce,,
1619,Master's Degree,Technology,,
1620,A/L,,Merit,
1620,Bachelor's Degree,General,Merit,
1620,Master's Degree,Arts,Pass,
1621,O/L,Science,,
1621,A/L,Technology,Distinction,
1622,A/L,Technology,,
1622,Master's Degree,Commerce,,
1623,O/L,,Pass,
1623,A/L,,Merit,
1623,Bachelor's Degree,Arts,Distinction,
1624,Master's Degree,Technology,Merit,
1624,A/L,,Distinction,
1625,A/L,Arts,Pass,
1626,A/L,Commerce,Merit,
1626,Bachelor's Degree,Science,Pass,
1627,A/L,,,
1627,O/L,Arts,,
1627,Bachelor's Degree,,Distinction,
1628,Master's Degree,General,Distinction,
1628,Bachelor's Degree,Arts,Pass,
1628,A/L,General,,
1629,A/L,,Pass,
1629,Master's Degree,Commerce,,
1629,Bachelor's Degree,Commerce,Pass,
1630,Bachelor's Degree,Technology,Pass,
1630,O/L,General,,
1631,A/L,Arts,Merit,
1632,Bachelor's Degree,Commerce,Merit,
1633,O/L,Arts,Distinction,
1633,A/L,,,
1634,A/L,Science,Pass,
1634,Bachelor's Degree,General,Merit,
1635,Bachelor's Degree,General,Pass,
1635,Master's Degree,Commerce,Merit,
1636,O/L,General,Distinction,
1637,O/L,,Pass,
1637,Master's Degree,Arts,Distinction,
1637,Bachelor's Degree,Science,,
1638,A/L,,Distinction,
1638,Bachelor's Degree,,Distinction,
1639,Master's Degree,,,
1639,Bachelor's Degree,General,,
1639,A/L,General,Merit,
1640,O/L,Technology,Distinction,
1640,Master's Degree,Arts,Distinction,
1640,A/L,General,Pass,
1641,Master's Degree,Commerce,,
1641,Bachelor's Degree,Technology,Distinction,
1642,O/L,Arts,Merit,
1642,A/L,,Distinction,
1642,Bachelor's Degree,General,Distinction,
1643,A/L,Technology,Pass,
1644,Master's Degree,,Merit,
1644,A/L,Science,,
1644,O/L,Science,Pass,
1645,Master's Degree,General,Distinction,
1645,Bachelor's Degree,Commerce,,
1646,Bachelor's Degree,Arts,Merit,
1647,A/L,General,Merit,
1647,O/L,General,Pass,
1647,Bachelor's Degree,Commerce,Distinction,
1648,A/L,Science,Merit,
1648,Bachelor's Degree,Arts,Merit,
1648,Master's Degree,,Pass,
1649,A/L,Commerce,,
1649,Master's Degree,General,,
1650,Master's Degree,Arts,Pass,
1650,Bachelor's Degree,,Pass,
1650,O/L,Science,Distinction,
1651,O/L,,Distinction,
1651,Master's Degree,Science,Merit,
1652,O/L,Commerce,Distinction,
1652,A/L,,Pass,
1652,Master's Degree,,Distinction,
1653,Master's Degree,Arts,Pass,
1653,A/L,General,Merit,
1654,O/L,,Distinction,
1654,Master's Degree,Commerce,Pass,
1655,Master's Degree,General,,
1655,A/L,Technology,,
1656,Bachelor's Degree,Commerce,Merit,
1657,O/L,Technology,Merit,
1657,Master's Degree,Technology,Distinction,
1657,Bachelor's Degree,General,,
1658,A/L,Science,,
1659,Master's Degree,Technology,Merit,
1659,A/L,,Merit,
1659,O/L,Commerce,Distinction,
1660,Bachelor's Degree,General,Distinction,
1661,Bachelor's Degree,Technology,,
1661,O/L,General,Distinction,
1661,A/L,General,Merit,
1662,Master's Degree,Arts,,
1662,Bachelor's Degree,Commerce,Distinction,
1663,A/L,General,Distinction,
1664,Master's Degree,Technology,Merit,
1665,A/L,Arts,Distinction,
1665,Master's Degree,,,
1665,Bachelor's Degree,Technology,,
1666,Master's Degree,Commerce,,
1666,O/L,Commerce,Merit,
1667,A/L,Science,Distinction,
1667,Master's Degree,Commerce,Pass,
1667,O/L,Arts,Merit,
1668,A/L,,,
1669,O/L,Technology,Distinction,
1669,A/L,Commerce,Distinction,
1669,Bachelor's Degree,Arts,Pass,
1670,Bachelor's Degree,Science,,
1670,A/L,Arts,,
1670,Master's Degree,Technology,,
1671,Master's Degree,Technology,Pass,
1671,A/L,Commerce,Merit,
1671,O/L,Arts,Pass,
1672,O/L,General,,
1672,Master's Degree,Arts,,
1673,O/L,Arts,Pass,
1673,Bachelor's Degree,Arts,,
1674,Bachelor's Degree,,Distinction,
1675,O/L,Science,,
1675,Bachelor's Degree,Commerce,Distinction,
1675,A/L,Technology,,
1676,O/L,Arts,,
1676,Bachelor's Degree,Arts,Pass,
1677,Master's Degree,Arts,Pass,
1677,A/L,General,Merit,
1678,Bachelor's Degree,,Merit,
1678,O/L,Arts,,
1678,A/L,Technology,Pass,
1679,Master's Degree,Technology,Pass,
1679,A/L,Science,,
1679,Bachelor's Degree,Arts,,
1680,Bachelor's Degree,Arts,Pass,
1680,O/L,General,Merit,
1680,A/L,,Distinction,
1681,Bachelor's Degree,Science,Merit,
1682,O/L,Technology,Pass,
1682,Master's Degree,General,,
1683,O/L,Technology,Pass,
1683,Master's Degree,Science,Merit,
1683,Bachelor's Degree,,Distinction,
1684,Master's Degree,Science,Distinction,
1684,O/L,Arts,Merit,
1685,A/L,Arts,Pass,
1686,O/L,,Merit,
1686,Bachelor's Degree,Commerce,,
1687,A/L,,,
1688,O/L,,,
1688,Bachelor's Degree,,Pass,
1689,Master's Degree,General,,
1689,A/L,Commerce,Pass,
1689,O/L,,Pass,
1690,O/L,Science,Distinction,
1690,Bachelor's Degree,General,Distinction,
1690,A/L,Technology,Distinction,
1691,Bachelor's Degree,Arts,Pass,
1691,Master's Degree,Arts,,
1692,Bachelor's Degree,,Distinction,
1693,Master's Degree,Science,,
1693,O/L,Arts,,
1694,Bachelor's Degree,Arts,Merit,
1694,Master's Degree,Arts,,
1694,O/L,Science,Distinction,
1695,O/L,General,Distinction,
1695,Bachelor's Degree,Science,Distinction,
1696,Bachelor's Degree,Commerce,,
1696,O/L,Technology,Merit,
1696,Master's Degree,Technology,,
1697,Bachelor's Degree,General,Distinction,
1697,O/L,Commerce,Pass,
1698,A/L,Science,,
1699,Bachelor's Degree,Technology,Merit,
1700,Master's Degree,Arts,,
1700,Bachelor's Degree,Science,Pass,
1701,Bachelor's Degree,General,,
1701,Master's Degree,General,,
1701,A/L,Arts,,
1702,Bachelor's Degree,Science,Pass,
1703,O/L,Commerce,Merit,
1704,Master's Degree,Science,,
1704,Bachelor's Degree,,Merit,
1705,Master's Degree,,Merit,
1706,Master's Degree,Technology,Pass,
1707,A/L,Science,Pass,
1707,O/L,General,Pass,
1708,O/L,Arts,Pass,
1709,Bachelor's Degree,Science,,
1709,O/L,Arts,Distinction,
1709,A/L,Science,,
1710,Master's Degree,,Distinction,
1710,Bachelor's Degree,Technology,Merit,
1711,A/L,Arts,Distinction,
1711,Bachelor's Degree,Science,,
1712,O/L,General,Distinction,
1712,Master's Degree,General,Distinction,
1712,A/L,Arts,,
1713,A/L,Arts,Merit,
1714,Master's Degree,,Pass,
1714,A/L,Commerce,Merit,
1714,O/L,Commerce,Pass,
1715,A/L,,Merit,
1715,O/L,Science,Merit,
1715,Master's Degree,Commerce,,
1716,A/L,General,Pass,
1716,Master's Degree,Technology,Distinction,
1717,Bachelor's Degree,Commerce,Merit,
1717,Master's Degree,General,,
1717,O/L,Commerce,Merit,
1718,A/L,Technology,Distinction,
1719,O/L,Arts,Pass,
1720,O/L,Arts,Distinction,
1720,Master's Degree,General,Distinction,
1720,Bachelor's Degree,Commerce,,
1721,A/L,,,
1722,A/L,Science,Distinction,
1722,O/L,Commerce,Merit,
1722,Master's Degree,General,,
1723,O/L,General,Distinction,
1723,A/L,Science,Distinction,
1724,Master's Degree,Commerce,Distinction,
1724,O/L,Arts,Distinction,
1724,A/L,Arts,Distinction,
1725,O/L,General,,
1726,A/L,Commerce,Merit,
1727,A/L,Commerce,Pass,
1727,Bachelor's Degree,Commerce,,
1727,O/L,Science,Merit,
