EmploymentID,PersonalID,EmploymentType,EmploymentSector,Employer,Country,Occupation,SkillsUsed,StartDate,EndDate,DurationMonths
3166,2030,Previous,Beauty & Personal Care,Island Plantations,Oman,Receptionist,Cooking;Serving,2019-10-21,2021-01-28,15.0
3167,2032,Current,Driving & Transportation,Apparel Pvt,Saudi Arabia,Construction Helper,Driving,2019-01-04,,
3168,2033,Current,Security Services,Lanka Ltd,Qatar,Sewing Machine Operator,Sewing,2020-09-21,,
3169,2033,Current,Facility Management,Apparel Plantations,South Korea,Sewing Machine Operator,Sewing,2021-10-03,,
3170,2033,Previous,Cleaning Services,Apparel Solutions,New Zealand,Sewing Machine Operator,Sewing,2024-01-01,2025-07-15,18.0
3171,2033,Current,Healthcare & Nursing,Gem Group,Oman,Sewing Machine Operator,Sewing,2022-09-17,,
3172,2035,Current,Logistics & Warehousing,Island Plantations,Saudi Arabia,Administrative Assistant,Painting;Retail Sales,2018-07-18,,
3173,2035,Previous,Manufacturing,Gem Co,Maldives,Administrative Assistant,Barista Skills,2015-07-26,2019-10-14,51.0
3174,2036,Current,Agriculture & Fishery,Ceylon Plantations,Oman,Chef,Administrative Support,2015-02-17,,
3175,2036,Current,Engineering & Technical,Construction Solutions,Romania,Chef,Beauty Therapy;Serving;Masonry,2024-02-25,,
3176,2037,Current,Healthcare & Nursing,Construction Plantations,Saudi Arabia,Caregiver,Nursing,2022-12-25,,
3177,2037,Previous,Hospitality & Tourism,Ceylon Plantations,Saudi Arabia,Caregiver,Cooking;Concrete Mixing;Tailoring,2020-08-16,2023-10-17,38.0
3178,2037,Previous,Healthcare & Nursing,Tea Corp,United Arab Emirates,Caregiver,Nursing,2020-03-19,2021-04-15,13.0
3179,2038,Previous,Facility Management,Apparel Co,Saudi Arabia,Sewing Machine Operator,Sewing,2013-12-31,2021-12-12,96.0
3180,2038,Previous,Domestic Services,Lanka Inc,Kuwait,Sewing Machine Operator,Sewing,2019-02-13,2025-08-17,78.0
3181,2038,Previous,Cleaning Services,Tea Plantations,United Arab Emirates,Sewing Machine Operator,Sewing,2012-07-13,2013-12-25,17.0
3182,2039,Previous,Security Services,Construction Group,United Arab Emirates,Construction Helper,Hairdressing,2020-04-06,2021-10-04,18.0
3183,2039,Current,Logistics & Warehousing,Construction Group,United Arab Emirates,Construction Helper,Housekeeping,2013-09-03,,
3184,2040,Previous,Healthcare & Nursing,Apparel Ltd,Saudi Arabia,Caregiver,Nursing,2023-10-20,2024-08-19,10.0
3185,2040,Previous,Beauty & Personal Care,Ceylon Group,Qatar,Caregiver,Hotel Housekeeping,2023-08-15,2023-09-29,1.0
3186,2040,Current,Healthcare & Nursing,Gem Plantations,Kuwait,Caregiver,Nursing,2010-09-23,,
3187,2041,Previous,Beauty & Personal Care,Island Solutions,Japan,House Driver,Welding;Vehicle Maintenance,2021-11-22,2025-04-18,41.0
3188,2042,Current,Hospitality & Tourism,Island Inc,Maldives,Caregiver,Driving;Food Preparation,2015-11-16,,
3189,2042,Previous,Healthcare & Nursing,Island Enterprises,Saudi Arabia,Caregiver,Nursing,2023-07-01,2025-02-07,19.0
3190,2043,Previous,Healthcare & Nursing,Tea Co,Hong Kong,Cleaner,Nursing,2022-10-10,2023-09-25,11.0
3191,2043,Current,Construction,Gem Solutions,Malaysia,Cleaner,Plumbing;Logistics Coordination;Patient Care,2021-03-09,,
3192,2044,Current,Domestic Services,Tea Inc,Turkey,Domestic Worker,Carpentry;Excel;Customer Service,2017-04-03,,
3193,2044,Previous,Domestic Services,Apparel Plantations,Qatar,Domestic Worker,Concrete Mixing,2015-11-08,2020-06-25,55.0
3194,2045,Previous,Agriculture & Fishery,Island Corp,Kuwait,Nursing Assistant,Nursing,2022-12-07,2024-08-30,20.0
3195,2045,Previous,Healthcare & Nursing,Construction Enterprises,South Korea,Nursing Assistant,Nursing,2022-08-19,2023-03-18,7.0
3196,2048,Previous,Driving & Transportation,Sri Ltd,Kuwait,Technician,Driving,2020-12-01,2021-08-12,8.0
3197,2048,Current,Manufacturing,Construction Corp,Qatar,Technician,Data Entry;Horticulture;Makeup Artistry,2013-02-15,,
3198,2049,Previous,Security Services,Tech Ltd,Kuwait,Construction Helper,Food Preparation;Kitchen Assistance,2019-07-22,2021-11-18,28.0
3199,2049,Previous,Cleaning Services,Tech Co,Kuwait,Construction Helper,IT Skills;Horticulture;Barista Skills,2015-03-18,2022-02-13,83.0
3200,2049,Current,Engineering & Technical,Island Co,Canada,Construction Helper,Beauty Therapy;Livestock Management,2013-08-15,,
3201,2049,Previous,Garment & Apparel,Sri Ltd,Maldives,Construction Helper,MS Office;Banquet Service;Hotel Housekeeping,2021-01-12,2024-11-24,46.0
3202,2050,Previous,Logistics & Warehousing,Hotel Group,Saudi Arabia,Nursing Assistant,Nursing,2024-06-19,2025-01-11,7.0
3203,2050,Previous,Logistics & Warehousing,Island Corp,United Kingdom,Nursing Assistant,Nursing,2014-10-20,2023-05-28,103.0
3204,2052,Current,Education & Training,Tech Inc,Saudi Arabia,Barista,Cooking;Tailoring,2020-11-14,,
3205,2052,Current,Engineering & Technical,Ceylon Pvt,Cyprus,Barista,Serving;Delivery Driving,2017-10-21,,
3206,2053,Previous,Driving & Transportation,Tea Inc,Kuwait,Sewing Machine Operator,Driving;Sewing,2020-05-27,2023-10-19,41.0
3207,2053,Previous,Cleaning Services,Sri Co,Saudi Arabia,Sewing Machine Operator,Sewing,2019-12-31,2025-05-08,65.0
3208,2054,Previous,Retail & Sales,Ceylon Co,Qatar,Tailor,Teaching Assistance;Inventory Management;Janitorial Skills,2011-12-30,2024-06-21,150.0
3209,2056,Current,Textile & Sewing,Sri Enterprises,Russia,General Labourer,Sewing,2019-06-07,,
3210,2056,Previous,Construction,Tech Pvt,Singapore,Construction Supervisor,Data Entry,2013-03-15,2015-10-25,31.0
3211,2058,Current,Driving & Transportation,Gem Pvt,United Kingdom,Sewing Machine Operator,Driving;Sewing,2012-03-05,,
3212,2058,Previous,Hospitality & Tourism,Ceylon Plantations,Saudi Arabia,Sewing Machine Operator,Sewing,2023-08-05,2025-07-10,23.0
3213,2058,Previous,Textile & Sewing,Lanka Inc,Kuwait,Sewing Machine Operator,Sewing,2011-04-18,2020-07-09,111.0
3214,2059,Current,Security Services,Island Inc,New Zealand,Heavy Vehicle Operator,Horticulture;Teaching Assistance,2017-12-23,,
3215,2059,Current,Construction,Construction Ltd,Maldives,Heavy Vehicle Operator,Makeup Artistry;Cooking,2015-06-13,,
3216,2059,Current,Driving & Transportation,Ceylon Pvt,United Arab Emirates,Heavy Vehicle Operator,Driving,2014-02-28,,
3217,2061,Previous,Textile & Sewing,Sri Solutions,Oman,Accountant,Sewing,2014-07-18,2017-12-02,41.0
3218,2061,Previous,Construction,Gem Solutions,Qatar,Construction Helper,Patient Care;Janitorial Skills;Kitchen Assistance,2020-11-02,2024-10-16,47.0
3219,2062,Previous,Garment & Apparel,Construction Inc,South Korea,Shuttering Carpenter,Livestock Management,2011-12-16,2025-01-18,157.0
3220,2064,Current,Domestic Services,Sri Corp,Saudi Arabia,Domestic Worker,Home Cleaning,2011-04-15,,
3221,2064,Previous,Domestic Services,Tea Group,South Korea,Domestic Worker,Customer Service;Childcare,2018-09-24,2019-08-22,11.0
3222,2065,Previous,Logistics & Warehousing,Island Solutions,Qatar,Technician,Farming;Tailoring,2016-07-20,2022-09-07,74.0
3223,2066,Previous,Cleaning Services,Lanka Pvt,South Korea,Laundry Worker,Laundry,2019-07-22,2021-11-02,28.0
3224,2066,Previous,Security Services,Island Plantations,Australia,Laundry Worker,Laundry,2021-10-01,2024-02-26,28.0
3225,2066,Previous,Security Services,Ceylon Enterprises,Singapore,Laundry Worker,Laundry,2024-02-27,2024-12-06,10.0
3226,2067,Previous,Healthcare & Nursing,Lanka Plantations,Qatar,Administrative Assistant,Nursing,2019-07-25,2020-08-04,13.0
3227,2070,Previous,Retail & Sales,Tech Co,Qatar,Nursing Assistant,Nursing,2020-12-14,2025-02-08,50.0
3228,2070,Previous,Cleaning Services,Ceylon Group,Hong Kong,Nursing Assistant,Nursing,2020-03-13,2025-08-18,65.0
3229,2071,Previous,Manufacturing,Lanka Inc,Kuwait,Driver,Construction Supervision,2014-02-25,2024-08-31,126.0
3230,2072,Previous,Driving & Transportation,Tea Enterprises,United Arab Emirates,Kitchen Helper,Driving,2015-07-18,2016-05-23,10.0
3231,2072,Current,Security Services,Island Pvt,Qatar,Kitchen Helper,Patient Care;Tailoring;Painting,2015-02-22,,
3232,2073,Previous,Healthcare & Nursing,Gem Co,Canada,Caregiver,Nursing,2023-11-30,2025-05-07,18.0
3233,2074,Previous,Garment & Apparel,Lanka Group,United Arab Emirates,Nurse,Scaffolding;Excel;Makeup Artistry,2024-04-03,2024-04-10,1.0
3234,2074,Previous,Cleaning Services,Sri Enterprises,Cyprus,Nurse,Serving,2011-01-07,2021-07-30,126.0
3235,2074,Previous,Logistics & Warehousing,Tea Ltd,United Arab Emirates,Nurse,Security Guarding;Food Preparation,2020-10-28,2020-12-03,2.0
3236,2074,Previous,Garment & Apparel,Ceylon Solutions,Maldives,Nurse,Construction Supervision;Facility Maintenance,2016-08-06,2025-04-30,104.0
3237,2075,Previous,Agriculture & Fishery,Tea Corp,Saudi Arabia,Receptionist,Carpentry,2022-01-07,2023-04-08,15.0
3238,2076,Previous,Security Services,Ceylon Ltd,Kuwait,Machine Operator,Bar Bending,2014-01-21,2017-11-09,46.0
3239,2077,Previous,Domestic Services,Tea Corp,Malaysia,Domestic Worker,Bookkeeping;Patient Care;Tailoring,2023-06-30,2024-02-20,8.0
3240,2077,Current,Domestic Services,Tea Co,Romania,Domestic Worker,Plumbing;Vehicle Maintenance;Excel,2019-03-24,,
3241,2077,Previous,Logistics & Warehousing,Sri Group,Saudi Arabia,Domestic Worker,Patient Care,2020-07-11,2024-02-22,43.0
3242,2078,Previous,Domestic Services,Sri Group,Saudi Arabia,Welder,CCTV Monitoring,2010-10-28,2021-01-29,123.0
3243,2078,Previous,Construction,Tech Ltd,Australia,Construction Supervisor,Textile Machine Operation;Driving;Fishing,2013-12-01,2023-11-14,119.0
3244,2079,Previous,Driving & Transportation,Ceylon Pvt,Saudi Arabia,Nurse,Driving,2015-07-06,2023-02-08,91.0
3245,2079,Current,Hospitality & Tourism,Construction Corp,Maldives,Nurse,Banquet Service;Delivery Driving,2022-09-14,,
3246,2082,Previous,Driving & Transportation,Apparel Pvt,Qatar,Security Guard,Driving,2015-08-08,2022-02-01,78.0
3247,2083,Previous,Beauty & Personal Care,Apparel Group,Japan,Construction Helper,Tailoring,2011-02-14,2022-03-03,133.0
3248,2084,Previous,Logistics & Warehousing,Sri Enterprises,Sri Lanka,Caregiver,Nursing;Facility Maintenance;Electrical,2017-04-13,2020-05-09,37.0
3249,2084,Previous,Healthcare & Nursing,Lanka Co,Saudi Arabia,Caregiver,Nursing,2018-07-11,2020-09-24,26.0
3250,2084,Previous,Healthcare & Nursing,Construction Solutions,Australia,Caregiver,Nursing,2019-03-24,2024-04-27,61.0
3251,2085,Previous,Facility Management,Ceylon Solutions,Saudi Arabia,Construction Supervisor,Driving,2016-05-30,2020-11-09,54.0
3252,2085,Previous,Manufacturing,Construction Enterprises,Sri Lanka,Construction Supervisor,Administrative Support;Retail Sales,2022-03-20,2023-06-21,15.0
3253,2087,Previous,Education & Training,Hotel Group,United Arab Emirates,Administrative Assistant,Scaffolding;Nursing,2011-12-31,2024-11-07,155.0
3254,2088,Current,Garment & Apparel,Island Inc,Lebanon,Salesperson,Carpentry,2012-08-15,,
3255,2088,Previous,Construction,Island Ltd,Canada,Construction Helper,First Aid;Painting;Janitorial Skills,2024-01-05,2024-10-22,9.0
3256,2088,Previous,Agriculture & Fishery,Tech Inc,Saudi Arabia,Salesperson,Logistics Coordination;Quality Inspection;Caregiving,2023-01-24,2024-12-30,23.0
3257,2089,Current,Engineering & Technical,Sri Enterprises,United Arab Emirates,House Driver,Hotel Housekeeping;IT Skills;Electrical,2010-11-01,,
3258,2092,Previous,Agriculture & Fishery,Tech Inc,Australia,Hotel Housekeeper,Excel;Hotel Housekeeping;Packing,2010-12-19,2023-04-06,148.0
3259,2093,Previous,Healthcare & Nursing,Tea Ltd,Saudi Arabia,Caregiver,Nursing,2024-07-18,2025-05-11,10.0
3260,2093,Previous,Hospitality & Tourism,Sri Plantations,United Arab Emirates,Caregiver,Plumbing;Quality Inspection;Concrete Mixing,2018-10-10,2019-12-10,14.0
3261,2093,Previous,Healthcare & Nursing,Island Inc,Saudi Arabia,Caregiver,Nursing,2024-06-20,2024-10-31,4.0
3262,2094,Previous,Logistics & Warehousing,Island Plantations,Japan,Factory Worker,Serving;Beauty Therapy,2022-10-29,2023-05-18,7.0
3263,2094,Current,Healthcare & Nursing,Tea Pvt,Saudi Arabia,Factory Worker,Nursing,2011-04-17,,
3264,2095,Previous,Domestic Services,Sri Co,Kuwait,Domestic Worker,Carpentry,2017-08-11,2018-11-24,15.0
3265,2095,Previous,Domestic Services,Hotel Plantations,Qatar,Domestic Worker,Medical Assistance;Horticulture,2012-07-15,2024-09-22,146.0
3266,2096,Previous,Retail & Sales,Apparel Group,Maldives,Electrician,Customer Service;Bookkeeping;Masonry,2018-07-05,2023-12-16,65.0
3267,2098,Previous,Agriculture & Fishery,Tea Plantations,Oman,Domestic Worker,Retail Sales;Farming,2021-11-23,2022-11-29,12.0
3268,2100,Previous,Education & Training,Sri Inc,United Kingdom,Warehouse Worker,Quality Inspection;Heavy Vehicle Driving;Home Cleaning,2016-10-23,2017-12-13,14.0
3269,2100,Previous,Garment & Apparel,Gem Ltd,Saudi Arabia,Warehouse Worker,Front Desk Operations,2021-05-26,2025-03-02,46.0
3270,2101,Previous,Engineering & Technical,Gem Pvt,Kuwait,Construction Helper,Banquet Service;Customer Service,2016-10-23,2023-12-08,86.0
3271,2102,Previous,Engineering & Technical,Tech Ltd,Qatar,Delivery Driver,Facility Maintenance,2013-11-19,2015-06-19,19.0
3272,2103,Previous,Healthcare & Nursing,Island Group,Kuwait,Caregiver,Nursing,2014-08-13,2020-04-20,68.0
3273,2103,Previous,Healthcare & Nursing,Lanka Inc,Kuwait,Caregiver,Nursing,2023-08-02,2024-02-14,6.0
3274,2104,Previous,Hospitality & Tourism,Apparel Enterprises,Saudi Arabia,Shuttering Carpenter,Security Guarding;Makeup Artistry;Delivery Driving,2015-11-07,2021-01-02,62.0
3275,2105,Previous,Security Services,Tea Solutions,Qatar,Construction Supervisor,IT Skills;Construction Supervision,2014-08-23,2015-02-03,6.0
3276,2106,Previous,Domestic Services,Gem Group,United Arab Emirates,Kitchen Helper,Laundry,2021-07-24,2023-09-19,26.0
3277,2107,Previous,Garment & Apparel,Construction Co,United Arab Emirates,House Driver,Textile Machine Operation;Home Cleaning;Beauty Therapy,2015-02-18,2022-05-18,87.0
3278,2108,Current,Domestic Services,Sri Solutions,Cyprus,Packing Worker,Packing,2017-12-08,,
3279,2109,Current,Beauty & Personal Care,Construction Co,Hong Kong,Electrician,Guest Relations;Shuttering Carpentry;CCTV Monitoring,2017-12-11,,
3280,2109,Previous,Driving & Transportation,Sri Pvt,Sri Lanka,Electrician,Driving,2019-12-03,2023-11-23,47.0
3281,2111,Current,Driving & Transportation,Tech Ltd,Malaysia,Factory Worker,Driving,2021-10-27,,
3282,2111,Current,Garment & Apparel,Sri Group,Romania,Factory Worker,Administrative Support,2023-09-23,,
3283,2111,Current,Facility Management,Hotel Solutions,Kuwait,Factory Worker,Farming;Plumbing;Home Cleaning,2021-10-05,,
3284,2113,Previous,Logistics & Warehousing,Tea Inc,Kuwait,Mason,Tiling;Front Desk Operations,2011-05-02,2012-07-29,14.0
3285,2113,Previous,Agriculture & Fishery,Tea Co,Romania,Mason,Food Preparation;Hotel Housekeeping;MS Office,2024-02-01,2024-04-05,2.0
3286,2113,Previous,Beauty & Personal Care,Island Co,Saudi Arabia,Mason,Carpentry;Medical Assistance;Nursing,2018-07-08,2023-12-29,65.0
3287,2113,Current,Driving & Transportation,Tea Group,Saudi Arabia,Mason,Driving,2020-07-11,,
3288,2114,Previous,Agriculture & Fishery,Sri Pvt,Kuwait,Tailor,Hotel Housekeeping,2015-05-02,2021-08-08,75.0
3289,2114,Previous,Domestic Services,Island Co,Kuwait,Tailor,Farming,2023-02-17,2025-03-02,25.0
3290,2115,Previous,Manufacturing,Construction Pvt,Qatar,Nurse,Horticulture;MS Office,2012-04-25,2016-08-24,52.0
3291,2115,Previous,Retail & Sales,Tea Corp,United Arab Emirates,Nurse,Barista Skills;Banquet Service;Vehicle Maintenance,2014-04-26,2023-10-02,114.0
3292,2116,Previous,Manufacturing,Island Co,Kuwait,Construction Helper,Barista Skills;Driving;First Aid,2016-06-17,2023-09-23,87.0
3293,2116,Previous,Cleaning Services,Gem Co,Qatar,Construction Helper,Sewing,2013-06-06,2017-09-13,51.0
3294,2117,Previous,Driving & Transportation,Tech Group,Romania,Construction Supervisor,Driving,2022-04-02,2024-01-10,21.0
3295,2117,Previous,Healthcare & Nursing,Ceylon Pvt,Israel,Construction Supervisor,Nursing,2010-12-04,2016-08-11,68.0
3296,2118,Current,Security Services,Apparel Co,Kuwait,Maintenance Worker,Cooking;Nursing;Laundry,2023-11-10,,
3297,2119,Previous,Beauty & Personal Care,Island Inc,Kuwait,Bar Bender,Hotel Housekeeping;Home Cleaning,2019-05-15,2023-09-18,52.0
3298,2119,Previous,Cleaning Services,Apparel Ltd,Seychelles,Bar Bender,Heavy Vehicle Driving;Hotel Housekeeping,2012-07-21,2016-01-15,42.0
3299,2122,Current,Cleaning Services,Lanka Pvt,United Arab Emirates,Housemaid,Kitchen Assistance;Janitorial Skills,2010-11-19,,
3300,2123,Previous,Garment & Apparel,Ceylon Plantations,Saudi Arabia,Teacher Assistant,Caregiving;Construction Supervision;Patient Care,2014-03-31,2023-01-06,106.0
3301,2123,Previous,Textile & Sewing,Construction Enterprises,Malaysia,Teacher Assistant,Sewing,2011-08-30,2023-04-27,140.0
3302,2123,Previous,Cleaning Services,Gem Solutions,Kuwait,Teacher Assistant,Quality Inspection;Plumbing,2011-03-21,2017-06-21,75.0
3303,2124,Previous,Retail & Sales,Hotel Pvt,Japan,Construction Supervisor,Banquet Service,2012-12-06,2016-01-01,37.0
3304,2124,Previous,Engineering & Technical,Tech Ltd,Saudi Arabia,Construction Supervisor,Fishing;Facility Maintenance;Food Preparation,2021-11-08,2025-04-08,41.0
3305,2124,Previous,Textile & Sewing,Island Group,Saudi Arabia,Construction Supervisor,Sewing,2017-04-27,2024-03-10,83.0
3306,2125,Previous,Driving & Transportation,Sri Corp,Saudi Arabia,Nursing Assistant,Driving;Nursing,2018-10-15,2024-12-01,74.0
3307,2125,Previous,Cleaning Services,Tea Solutions,United Arab Emirates,Nursing Assistant,Nursing,2020-10-23,2020-11-17,1.0
3308,2127,Previous,Manufacturing,Sri Solutions,United Arab Emirates,Construction Supervisor,Home Cleaning;Caregiving,2010-09-15,2011-02-14,5.0
3309,2127,Previous,Engineering & Technical,Lanka Plantations,United Arab Emirates,Construction Supervisor,Patient Care,2023-12-29,2024-09-13,9.0
3310,2127,Current,Engineering & Technical,Sri Plantations,Bahrain,Construction Supervisor,Accounting,2016-04-04,,
3311,2129,Previous,Facility Management,Sri Co,Canada,Maintenance Worker,Garment Quality Control;Painting;Cooking,2022-03-31,2022-11-03,8.0
3312,2129,Current,Hospitality & Tourism,Apparel Plantations,Romania,Maintenance Worker,Textile Machine Operation;Administrative Support,2022-10-13,,
3313,2131,Previous,Hospitality & Tourism,Lanka Corp,Saudi Arabia,Cleaner,Front Desk Operations;Guest Relations,2018-03-28,2018-11-22,8.0
3314,2132,Current,Agriculture & Fishery,Tea Plantations,Qatar,Sewing Machine Operator,Sewing,2022-08-28,,
3315,2133,Previous,Education & Training,Tea Ltd,United Arab Emirates,Quality Control Inspector,Customer Service;Packing;Retail Sales,2023-07-11,2023-08-07,1.0
3316,2133,Previous,Domestic Services,Hotel Ltd,Turkey,Quality Control Inspector,Cooking;Hairdressing;Horticulture,2011-09-23,2021-12-30,123.0
3317,2133,Previous,Garment & Apparel,Lanka Group,Qatar,Quality Control Inspector,Hairdressing;Heavy Vehicle Driving,2018-03-22,2024-06-26,75.0
3318,2134,Current,Manufacturing,Ceylon Ltd,Kuwait,Laundry Worker,Laundry,2020-12-02,,
3319,2134,Previous,Security Services,Ceylon Enterprises,Saudi Arabia,Laundry Worker,Laundry,2015-07-12,2016-03-19,8.0
3320,2135,Previous,Textile & Sewing,Lanka Ltd,Saudi Arabia,Waiter,Sewing,2012-07-08,2018-07-03,72.0
3321,2135,Previous,Hospitality & Tourism,Tea Inc,Kuwait,Waiter,First Aid;Garment Quality Control;MS Office,2016-05-18,2017-05-17,12.0
3322,2136,Previous,Security Services,Sri Enterprises,United Arab Emirates,Delivery Driver,Textile Machine Operation;Housekeeping,2024-02-04,2025-02-27,12.0
3323,2138,Previous,Driving & Transportation,Apparel Co,United Arab Emirates,Construction Helper,Driving,2020-02-14,2024-03-30,49.0
3324,2138,Previous,Domestic Services,Island Plantations,South Korea,Construction Helper,Data Entry;Cooking,2014-08-05,2023-12-18,112.0
3325,2139,Current,Driving & Transportation,Tea Group,Seychelles,Logistics Coordinator,Driving,2019-07-01,,
3326,2140,Previous,Facility Management,Ceylon Pvt,Turkey,Construction Helper,Facility Maintenance;Accounting,2022-05-27,2024-07-04,26.0
3327,2140,Previous,Driving & Transportation,Island Enterprises,Qatar,Construction Helper,Driving,2014-11-20,2023-05-15,102.0
3328,2142,Previous,Retail & Sales,Island Plantations,Sri Lanka,Nurse,Logistics Coordination;Banquet Service;Data Entry,2023-04-27,2023-12-16,8.0
3329,2142,Previous,Retail & Sales,Sri Enterprises,Oman,Nurse,Shuttering Carpentry;Kitchen Assistance;Patient Care,2016-06-20,2025-06-02,108.0
3330,2144,Previous,Manufacturing,Sri Pvt,United Arab Emirates,House Driver,Health Aide;Hotel Housekeeping,2021-10-06,2022-04-23,6.0
3331,2144,Previous,Facility Management,Tech Co,Maldives,House Driver,Bookkeeping,2014-03-14,2019-06-21,63.0
3332,2145,Previous,IT & Professional Services,Tech Plantations,Qatar,Driver,MS Office,2014-04-23,2017-08-13,40.0
3333,2145,Previous,Engineering & Technical,Island Corp,United Arab Emirates,Delivery Driver,Accounting;Facility Maintenance,2021-08-21,2025-07-13,47.0
3334,2145,Previous,Domestic Services,Apparel Inc,Malaysia,House Driver,Bookkeeping;Livestock Management,2019-10-31,2024-04-14,54.0
3335,2146,Previous,Agriculture & Fishery,Tea Enterprises,United Arab Emirates,Nurse,Elderly Care,2021-11-30,2023-12-13,25.0
3336,2146,Previous,Construction,Gem Enterprises,Qatar,Construction Supervisor,Horticulture;Hotel Housekeeping,2020-07-25,2022-01-22,18.0
3337,2146,Previous,IT & Professional Services,Tech Inc,Saudi Arabia,Nurse,Laundry;Farming;Logistics Coordination,2020-11-21,2022-03-31,16.0
3338,2146,Current,Textile & Sewing,Tech Inc,Cyprus,Nurse,Sewing,2011-10-26,,
3339,2147,Previous,Garment & Apparel,Ceylon Solutions,Kuwait,General Labourer,MS Office;Packing;First Aid,2011-03-13,2019-09-16,102.0
3340,2147,Previous,Construction,Lanka Corp,Kuwait,General Labourer,Food Preparation,2012-11-29,2016-04-24,41.0
3341,2149,Previous,Retail & Sales,Lanka Ltd,Maldives,Plumber,Cooking;Laundry,2018-03-31,2024-01-05,70.0
3342,2150,Previous,Healthcare & Nursing,Tech Plantations,New Zealand,Forklift Operator,Nursing,2021-12-08,2021-12-08,1.0
3343,2150,Current,Construction,Island Ltd,Saudi Arabia,Construction Supervisor,Makeup Artistry;Textile Machine Operation;Beauty Therapy,2015-12-28,,
3344,2150,Previous,Education & Training,Ceylon Solutions,Saudi Arabia,Forklift Operator,Garment Quality Control,2014-06-15,2018-03-24,45.0
3345,2150,Previous,Logistics & Warehousing,Apparel Co,Qatar,Forklift Operator,Beauty Therapy;Housekeeping;Tailoring,2020-05-10,2022-06-27,25.0
3346,2151,Previous,Garment & Apparel,Apparel Inc,Romania,Housemaid,Accounting,2019-02-08,2024-05-05,63.0
3347,2151,Previous,Garment & Apparel,Apparel Co,United Arab Emirates,Housemaid,Shuttering Carpentry;Nursing;Electrical,2015-06-06,2021-07-22,73.0
3348,2152,Previous,Agriculture & Fishery,Lanka Solutions,United Kingdom,Shuttering Carpenter,Bar Bending,2011-11-16,2011-12-12,1.0
3349,2153,Previous,Cleaning Services,Sri Ltd,Maldives,Construction Helper,Cooking;Delivery Driving,2019-12-21,2021-04-07,16.0
3350,2153,Previous,Agriculture & Fishery,Gem Group,Saudi Arabia,Construction Helper,Nursing;Carpentry;Construction Supervision,2013-11-29,2020-04-17,77.0
3351,2153,Previous,Agriculture & Fishery,Hotel Pvt,Qatar,Construction Helper,Hairdressing,2019-02-09,2023-01-20,47.0
3352,2153,Previous,Domestic Services,Sri Enterprises,Kuwait,Construction Helper,Quality Inspection;Facility Maintenance;Kitchen Assistance,2013-08-11,2014-04-10,8.0
3353,2154,Previous,Engineering & Technical,Construction Enterprises,Kuwait,Engineer,Administrative Support;Carpentry,2018-02-09,2018-12-06,10.0
3354,2154,Previous,Garment & Apparel,Ceylon Inc,Qatar,Engineer,Farming;Driving,2024-06-10,2025-07-10,13.0
3355,2154,Previous,Engineering & Technical,Lanka Pvt,Saudi Arabia,Engineer,Administrative Support;Retail Sales,2016-08-02,2024-06-16,94.0
3356,2155,Current,Manufacturing,Ceylon Inc,Australia,Housemaid,Fishing;Construction Supervision;Beauty Therapy,2011-03-25,,
3357,2155,Previous,Cleaning Services,Tea Ltd,United Arab Emirates,Housemaid,Masonry;Barista Skills,2015-07-24,2016-04-12,9.0
3358,2157,Previous,Engineering & Technical,Hotel Plantations,Saudi Arabia,Laundry Worker,Laundry,2016-10-23,2020-02-29,40.0
3359,2157,Previous,Hospitality & Tourism,Apparel Group,United Arab Emirates,Laundry Worker,Laundry,2016-10-21,2022-02-27,64.0
3360,2158,Previous,Hospitality & Tourism,Ceylon Inc,Japan,Kitchen Helper,Food Preparation,2015-07-22,2017-08-19,25.0
3361,2158,Previous,Beauty & Personal Care,Tea Plantations,Romania,Kitchen Helper,Medical Assistance;Farming,2011-08-28,2013-03-17,19.0
3362,2159,Previous,Hospitality & Tourism,Sri Inc,United Arab Emirates,Nursing Assistant,Nursing,2014-10-03,2023-01-20,99.0
3363,2159,Previous,Cleaning Services,Lanka Pvt,Saudi Arabia,Nursing Assistant,Nursing,2014-12-25,2015-07-10,7.0
3364,2160,Previous,Facility Management,Construction Pvt,Saudi Arabia,Kitchen Helper,Medical Assistance;Concrete Mixing,2013-04-06,2016-11-02,43.0
3365,2161,Previous,Manufacturing,Gem Group,Saudi Arabia,Delivery Driver,Elderly Care;Patient Care;Carpentry,2023-01-05,2025-07-13,30.0
3366,2161,Previous,Hospitality & Tourism,Tea Co,Saudi Arabia,Delivery Driver,IT Skills;MS Office,2021-09-02,2024-02-17,29.0
3367,2162,Previous,Manufacturing,Island Ltd,Saudi Arabia,Welder,Food Preparation;First Aid,2023-01-03,2023-08-11,7.0
3368,2163,Previous,Garment & Apparel,Hotel Plantations,Bahrain,Driver,Barista Skills;Textile Machine Operation,2023-10-16,2023-11-09,1.0
3369,2163,Current,Driving & Transportation,Apparel Ltd,Saudi Arabia,Driver,Driving,2022-06-21,,
3370,2163,Previous,Manufacturing,Tech Solutions,United Arab Emirates,Driver,Packing,2023-05-06,2023-10-04,5.0
3371,2164,Previous,Healthcare & Nursing,Ceylon Plantations,Serbia,Electrician,Nursing,2023-09-27,2024-07-01,10.0
3372,2164,Previous,Logistics & Warehousing,Sri Plantations,United Arab Emirates,Electrician,Facility Maintenance;Farming;Barista Skills,2020-09-29,2024-05-18,44.0
