QualificationID,JobID,QualificationType,FieldOfStudy,MinimumGrade,OtherDetails
2061,1067,NVQ Level 3,Vocational,Distinction,
2062,1068,Certificate in Sewing,Textile,Merit,
2063,1068,NVQ Level 3,Vocational,Distinction,Probation period
2064,1068,NVQ Level 4,Vocational,,Probation period
2065,1069,Bachelor's Degree,General,Merit,
2066,1070,O/L,General,,
2067,1070,NVQ Level 3,Vocational,,Probation period
2068,1071,O/L,General,Merit,Probation period
2069,1072,Certificate in Masonry,Construction,Pass,Probation period
2070,1072,Diploma in Hospitality,Hospitality,Merit,Standard contract
2071,1072,NVQ Level 3,Vocational,,Training provided
2072,1073,O/L,General,Pass,Training provided
2073,1073,NVQ Level 3,Vocational,Pass,Standard contract
2074,1074,O/L,General,Pass,Standard contract
2075,1074,NVQ Level 3,Vocational,Merit,Requires visa
2076,1075,Certificate in Masonry,Construction,Distinction,Requires visa
2077,1075,Certificate in Welding,Construction,Distinction,Training provided
2078,1075,Certificate in Electrical Work,Construction,Merit,Requires visa
2079,1076,NVQ Level 4,Vocational,Distinction,Probation period
2080,1076,Certificate in Hospitality,Hospitality,Merit,Requires visa
2081,1077,Certificate in Carpentry,Construction,Merit,Requires visa
2082,1077,Certificate in Plumbing,Construction,Distinction,Requires visa
2083,1077,Certificate in Welding,Construction,Pass,Requires visa
2084,1078,Certificate in Driving,Transportation,,
2085,1079,O/L,General,Pass,Training provided
2086,1080,Certificate in Welding,Construction,Merit,Standard contract
2087,1080,Certificate in Carpentry,Construction,Distinction,Standard contract
2088,1081,NVQ Level 3,Vocational,Distinction,Training provided
2089,1081,O/L,General,Distinction,Requires visa
2090,1081,NVQ Level 2,Vocational,,Standard contract
2091,1082,NVQ Level 3,Vocational,,Requires visa
2092,1083,NVQ Level 3,Vocational,Distinction,
2093,1083,NVQ Level 2,Vocational,Pass,Standard contract
2094,1084,O/L,General,Distinction,
2095,1084,Certificate in Domestic Work,Domestic Services,Pass,Standard contract
2096,1085,A/L,General,Pass,
2097,1085,Certificate in Hospitality,Hospitality,,Probation period
2098,1086,NVQ Level 3,Vocational,,
2099,1086,A/L,General,Pass,Probation period
2100,1087,Certificate in Sewing,Textile,Pass,Training provided
2101,1088,Certificate in Welding,Construction,,Probation period
2102,1089,O/L,General,Distinction,Standard contract
2103,1090,Certificate in Heavy Vehicle Operation,Transportation,Merit,Requires visa
2104,1090,O/L,General,Merit,Training provided
2105,1090,Certificate in Driving,Transportation,Pass,Requires visa
2106,1091,Certificate in Plumbing,Construction,,Standard contract
2107,1091,O/L,General,Pass,Training provided
2108,1092,NVQ Level 2,Vocational,Pass,
2109,1093,NVQ Level 2,Vocational,,
2110,1093,O/L,General,Merit,
2111,1093,NVQ Level 3,Vocational,,Probation period
2112,1094,O/L,General,Merit,Training provided
2113,1094,NVQ Level 3,Vocational,Pass,
2114,1095,NVQ Level 2,Vocational,,Probation period
2115,1095,NVQ Level 3,Vocational,Merit,Requires visa
2116,1095,O/L,General,,Probation period
2117,1096,Certificate in Domestic Work,Domestic Services,Pass,Requires visa
2118,1096,O/L,General,Distinction,Requires visa
2119,1097,Certificate in Electrical Work,Construction,,Standard contract
2120,1097,O/L,General,Pass,Standard contract
2121,1097,Certificate in Welding,Construction,,Training provided
2122,1098,NVQ Level 4,Vocational,,Probation period
2123,1099,O/L,General,Merit,Probation period
2124,1099,Certificate in Caregiving,Healthcare,Pass,Requires visa
2125,1100,Diploma in Hospitality,Hospitality,Distinction,Training provided
2126,1101,Diploma in Business,Business,Merit,Probation period
2127,1101,Diploma in Hospitality,Hospitality,Merit,
2128,1101,NVQ Level 4,Vocational,,
2129,1102,O/L,General,,Training provided
2130,1103,NVQ Level 4,Vocational,Merit,Standard contract
2131,1104,O/L,General,Pass,Standard contract
2132,1105,Certificate in Sewing,Textile,Distinction,Training provided
2133,1106,Certificate in Electrical Work,Construction,,Training provided
2134,1107,NVQ Level 3,Vocational,,Training provided
2135,1108,NVQ Level 4,Vocational,Merit,Probation period
2136,1109,Certificate in Sewing,Textile,Distinction,
2137,1109,NVQ Level 3,Vocational,,Standard contract
2138,1110,Diploma in IT,Information Technology,Pass,Requires visa
2139,1110,O/L,General,Merit,Probation period
2140,1111,Certificate in Nursing,Healthcare,Pass,
2141,1112,NVQ Level 4,Vocational,Pass,Standard contract
2142,1112,Certificate in Welding,Construction,Pass,Probation period
2143,1112,NVQ Level 3,Vocational,Distinction,Probation period
2144,1113,NVQ Level 4,Vocational,,Training provided
2145,1113,Certificate in Plumbing,Construction,Distinction,Standard contract
2146,1114,NVQ Level 3,Vocational,Distinction,
2147,1115,Certificate in Carpentry,Construction,,Standard contract
2148,1115,Certificate in Plumbing,Construction,Distinction,
2149,1115,Certificate in Welding,Construction,Distinction,
2150,1116,Certificate in Plumbing,Construction,,Standard contract
2151,1116,Certificate in IT,Information Technology,,Training provided
2152,1117,NVQ Level 3,Vocational,Distinction,Requires visa
2153,1117,NVQ Level 4,Vocational,,Standard contract
2154,1118,A/L,General,Pass,Requires visa
2155,1118,NVQ Level 3,Vocational,,Standard contract
2156,1119,Certificate in Masonry,Construction,,Standard contract
2157,1120,O/L,General,Pass,Probation period
2158,1120,Certificate in Caregiving,Healthcare,Merit,Requires visa
2159,1121,Diploma in Nursing,Healthcare,Distinction,
2160,1122,Certificate in IT,Information Technology,Merit,Probation period
2161,1123,Certificate in Masonry,Construction,Pass,Training provided
2162,1123,Certificate in Plumbing,Construction,Merit,Probation period
2163,1123,Certificate in Electrical Work,Construction,Distinction,Probation period
2164,1124,O/L,General,Merit,
2165,1125,NVQ Level 4,Vocational,Pass,Standard contract
2166,1125,NVQ Level 3,Vocational,Merit,Training provided
2167,1125,Certificate in Caregiving,Healthcare,,Standard contract
2168,1126,Certificate in Domestic Work,Domestic Services,Distinction,Probation period
2169,1126,O/L,General,Merit,
2170,1127,NVQ Level 3,Vocational,Merit,Probation period
2171,1127,NVQ Level 2,Vocational,Merit,Probation period
2172,1127,Certificate in Domestic Work,Domestic Services,Pass,Training provided
2173,1128,NVQ Level 3,Vocational,Distinction,Training provided
2174,1129,NVQ Level 3,Vocational,Distinction,
2175,1129,NVQ Level 2,Vocational,Merit,
2176,1129,O/L,General,Pass,Probation period
2177,1130,Certificate in Heavy Vehicle Operation,Transportation,Merit,
2178,1130,Certificate in Driving,Transportation,,Probation period
2179,1131,A/L,General,Merit,Requires visa
2180,1131,Certificate in Nursing,Healthcare,Merit,Training provided
2181,1132,Certificate in Plumbing,Construction,Distinction,Standard contract
2182,1133,Certificate in Sewing,Textile,Merit,Training provided
2183,1133,O/L,General,Merit,Requires visa
2184,1133,NVQ Level 3,Vocational,Distinction,Requires visa
2185,1134,NVQ Level 4,Vocational,Merit,Probation period
2186,1134,Diploma in Hospitality,Hospitality,,Probation period
2187,1135,O/L,General,Distinction,Training provided
2188,1135,NVQ Level 3,Vocational,Merit,Requires visa
2189,1136,NVQ Level 4,Vocational,Distinction,
2190,1137,A/L,General,Pass,
2191,1137,NVQ Level 3,Vocational,Pass,
2192,1137,Certificate in Caregiving,Healthcare,Merit,Training provided
2193,1138,O/L,General,Merit,Standard contract
2194,1138,Certificate in Sewing,Textile,Merit,Training provided
2195,1138,NVQ Level 3,Vocational,Distinction,Training provided
2196,1139,NVQ Level 3,Vocational,,Requires visa
2197,1140,Certificate in Plumbing,Construction,Distinction,Probation period
2198,1140,Certificate in Electrical Work,Construction,Distinction,Probation period
2199,1140,NVQ Level 4,Vocational,Merit,Probation period
2200,1141,O/L,General,,Standard contract
2201,1142,O/L,General,Merit,Requires visa
2202,1142,NVQ Level 3,Vocational,Distinction,Standard contract
2203,1143,NVQ Level 3,Vocational,Distinction,Standard contract
2204,1143,O/L,General,,Requires visa
2205,1144,NVQ Level 4,Vocational,Merit,Training provided
2206,1145,NVQ Level 3,Vocational,,Probation period
2207,1145,O/L,General,Merit,Training provided
2208,1146,NVQ Level 3,Vocational,,Training provided
2209,1147,Certificate in Masonry,Construction,Merit,Standard contract
2210,1148,NVQ Level 3,Vocational,Distinction,
2211,1149,O/L,General,Merit,Standard contract
2212,1149,Certificate in Domestic Work,Domestic Services,,
2213,1149,Certificate in Caregiving,Healthcare,Merit,Training provided
2214,1150,NVQ Level 3,Vocational,Distinction,Probation period
2215,1150,NVQ Level 2,Vocational,Distinction,Probation period
2216,1150,Certificate in Caregiving,Healthcare,Merit,Requires visa
2217,1151,O/L,General,,Standard contract
2218,1151,NVQ Level 3,Vocational,Merit,Requires visa
2219,1152,Certificate in Caregiving,Healthcare,Merit,Probation period
2220,1152,Certificate in Domestic Work,Domestic Services,Distinction,Training provided
2221,1153,Certificate in Caregiving,Healthcare,Distinction,Training provided
2222,1153,O/L,General,Merit,Standard contract
2223,1154,Certificate in Sewing,Textile,Pass,
2224,1155,A/L,General,Merit,Probation period
2225,1155,O/L,General,,Probation period
2226,1156,A/L,General,Pass,Requires visa
2227,1157,A/L,General,Pass,Requires visa
2228,1158,NVQ Level 3,Vocational,Merit,
2229,1159,Certificate in Heavy Vehicle Operation,Transportation,Pass,Training provided
2230,1159,O/L,General,,
2231,1159,Certificate in Driving,Transportation,,Requires visa
2232,1160,Certificate in Electrical Work,Construction,Merit,
2233,1160,Certificate in Carpentry,Construction,,Probation period
2234,1160,NVQ Level 4,Vocational,,Probation period
2235,1161,NVQ Level 3,Vocational,,Probation period
2236,1161,Certificate in Caregiving,Healthcare,Merit,
2237,1161,O/L,General,,Training provided
2238,1162,NVQ Level 5,Vocational,Pass,
2239,1163,O/L,General,,Requires visa
2240,1163,NVQ Level 3,Vocational,,Standard contract
2241,1164,O/L,General,Distinction,Probation period
2242,1164,NVQ Level 3,Vocational,Merit,Requires visa
2243,1165,Certificate in Masonry,Construction,,Training provided
2244,1165,NVQ Level 4,Vocational,Distinction,Requires visa
2245,1165,Certificate in Welding,Construction,,Requires visa
2246,1166,O/L,General,,Probation period
2247,1166,A/L,General,,Probation period
2248,1166,Bachelor's Degree,General,Distinction,Training provided
2249,1167,Certificate in Driving,Transportation,Merit,Standard contract
2250,1168,NVQ Level 4,Vocational,Distinction,
2251,1168,NVQ Level 3,Vocational,Merit,
2252,1169,NVQ Level 4,Vocational,Merit,Requires visa
2253,1170,O/L,General,Distinction,Standard contract
2254,1170,Certificate in Nursing,Healthcare,Distinction,Training provided
2255,1170,Certificate in Caregiving,Healthcare,Merit,Training provided
2256,1171,Certificate in Welding,Construction,Distinction,Training provided
2257,1171,O/L,General,Pass,Probation period
2258,1172,O/L,General,Merit,
2259,1172,NVQ Level 3,Vocational,Distinction,Probation period
2260,1172,Certificate in Sewing,Textile,,
2261,1173,NVQ Level 3,Vocational,,Training provided
2262,1174,A/L,General,Distinction,Probation period
2263,1175,Certificate in Sewing,Textile,,Training provided
2264,1175,O/L,General,,Probation period
2265,1175,NVQ Level 3,Vocational,Pass,Standard contract
2266,1176,Certificate in Electrical Work,Construction,,Probation period
2267,1177,A/L,General,Distinction,Training provided
2268,1178,NVQ Level 4,Vocational,Merit,
2269,1178,O/L,General,,Probation period
2270,1178,Certificate in Sewing,Textile,,
2271,1179,Certificate in Welding,Construction,,Training provided
2272,1179,NVQ Level 4,Vocational,Distinction,
2273,1179,O/L,General,Merit,
2274,1180,O/L,General,Pass,
2275,1181,NVQ Level 3,Vocational,Distinction,Training provided
2276,1181,Certificate in Sewing,Textile,,Requires visa
2277,1182,Certificate in Caregiving,Healthcare,Pass,Probation period
2278,1183,Certificate in Hospitality,Hospitality,Merit,Requires visa
2279,1183,NVQ Level 4,Vocational,Merit,Standard contract
2280,1183,O/L,General,Distinction,Requires visa
2281,1184,Certificate in Sewing,Textile,Pass,Training provided
2282,1184,O/L,General,Merit,Requires visa
2283,1185,O/L,General,,
2284,1186,O/L,General,Merit,Training provided
2285,1186,NVQ Level 4,Vocational,Merit,
2286,1187,Diploma in Nursing,Healthcare,,Requires visa
2287,1187,A/L,General,,Requires visa
2288,1188,NVQ Level 3,Vocational,Merit,Training provided
2289,1189,Certificate in Masonry,Construction,Distinction,Requires visa
2290,1190,Certificate in Caregiving,Healthcare,Distinction,Standard contract
2291,1190,Certificate in Domestic Work,Domestic Services,Pass,Probation period
2292,1191,Certificate in Cooking,Hospitality,,
2293,1191,Diploma in Hospitality,Hospitality,Pass,Requires visa
2294,1191,A/L,General,,Probation period
2295,1192,Certificate in Masonry,Construction,Distinction,Probation period
2296,1193,Certificate in Driving,Transportation,Distinction,Probation period
2297,1193,O/L,General,Pass,Requires visa
2298,1193,Certificate in Heavy Vehicle Operation,Transportation,,Requires visa
2299,1194,Certificate in Caregiving,Healthcare,Distinction,
2300,1194,O/L,General,Merit,
2301,1195,O/L,General,Merit,Training provided
2302,1196,A/L,General,Pass,Training provided
2303,1197,Certificate in Domestic Work,Domestic Services,Merit,Standard contract
2304,1197,NVQ Level 2,Vocational,Merit,Training provided
2305,1198,O/L,General,Distinction,Requires visa
2306,1198,NVQ Level 2,Vocational,Merit,Requires visa
2307,1199,NVQ Level 3,Vocational,Pass,Training provided
2308,1199,A/L,General,Merit,Requires visa
2309,1199,O/L,General,Distinction,
2310,1200,O/L,General,Merit,
2311,1200,NVQ Level 3,Vocational,,Requires visa
2312,1200,NVQ Level 2,Vocational,Merit,Probation period
2313,1201,NVQ Level 3,Vocational,Pass,Standard contract
2314,1202,NVQ Level 3,Vocational,Pass,Standard contract
2315,1202,A/L,General,Pass,Training provided
2316,1202,O/L,General,,Standard contract
2317,1203,NVQ Level 4,Vocational,Pass,Training provided
2318,1204,NVQ Level 4,Vocational,Pass,Probation period
2319,1205,Certificate in Driving,Transportation,Pass,Requires visa
2320,1205,Certificate in Heavy Vehicle Operation,Transportation,Distinction,
2321,1205,O/L,General,,Standard contract
2322,1206,NVQ Level 3,Vocational,,Training provided
2323,1206,NVQ Level 4,Vocational,Pass,Requires visa
2324,1207,O/L,General,,Training provided
2325,1208,Certificate in Masonry,Construction,,Standard contract
2326,1208,Certificate in Electrical Work,Construction,Distinction,
2327,1208,NVQ Level 4,Vocational,,
2328,1209,O/L,General,Pass,Requires visa
2329,1209,NVQ Level 3,Vocational,,
2330,1209,Certificate in Sewing,Textile,Merit,
2331,1210,O/L,General,Distinction,Probation period
2332,1210,Certificate in Carpentry,Construction,Merit,Standard contract
2333,1211,Certificate in Domestic Work,Domestic Services,Distinction,Standard contract
2334,1211,O/L,General,,
2335,1211,NVQ Level 3,Vocational,,Requires visa
2336,1212,Certificate in Sewing,Textile,,Standard contract
2337,1212,NVQ Level 4,Vocational,Merit,Standard contract
2338,1212,O/L,General,Pass,Requires visa
2339,1213,Certificate in Sewing,Textile,,Training provided
2340,1213,O/L,General,Distinction,
2341,1213,NVQ Level 3,Vocational,Distinction,
2342,1214,NVQ Level 3,Vocational,Pass,
2343,1215,O/L,General,Merit,Requires visa
2344,1215,NVQ Level 2,Vocational,Merit,Probation period
2345,1216,Certificate in Masonry,Construction,Pass,Training provided
2346,1216,NVQ Level 4,Vocational,Merit,
2347,1217,Certificate in Carpentry,Construction,,Training provided
2348,1218,O/L,General,,Probation period
2349,1218,Certificate in Cooking,Hospitality,,Probation period
2350,1219,Certificate in Driving,Transportation,Distinction,Requires visa
2351,1219,Certificate in Heavy Vehicle Operation,Transportation,Distinction,
2352,1219,O/L,General,Pass,
2353,1220,NVQ Level 4,Vocational,Merit,
2354,1220,Certificate in Masonry,Construction,Distinction,Training provided
2355,1220,Certificate in Carpentry,Construction,Distinction,Standard contract
2356,1221,Certificate in Plumbing,Construction,Merit,Requires visa
2357,1221,O/L,General,Pass,Probation period
2358,1222,Certificate in Heavy Vehicle Operation,Transportation,Distinction,Probation period
2359,1222,O/L,General,,Requires visa
2360,1223,NVQ Level 3,Vocational,Merit,Standard contract
2361,1224,Bachelor's Degree,General,Distinction,Training provided
2362,1225,O/L,General,,Requires visa
2363,1225,Certificate in Carpentry,Construction,Pass,Requires visa
2364,1226,O/L,General,,Requires visa
2365,1227,O/L,General,Distinction,Requires visa
2366,1227,Certificate in Electrical Work,Construction,Pass,Training provided
2367,1228,NVQ Level 3,Vocational,Distinction,Probation period
2368,1228,O/L,General,Merit,
2369,1228,A/L,General,Pass,
2370,1229,O/L,General,,
2371,1230,Certificate in Beauty Therapy,General,,Standard contract
2372,1231,NVQ Level 3,Vocational,Merit,
2373,1232,O/L,General,Distinction,Standard contract
2374,1232,NVQ Level 3,Vocational,Merit,Requires visa
2375,1233,O/L,General,Pass,Requires visa
2376,1233,NVQ Level 3,Vocational,Merit,Standard contract
2377,1234,Certificate in Domestic Work,Domestic Services,Merit,Training provided
2378,1234,O/L,General,Distinction,Standard contract
2379,1235,Certificate in Welding,Construction,Merit,Requires visa
2380,1235,Certificate in Carpentry,Construction,,Standard contract
2381,1235,O/L,General,Merit,Probation period
2382,1236,O/L,General,,Probation period
2383,1236,A/L,General,,Probation period
2384,1236,NVQ Level 3,Vocational,Merit,Probation period
2385,1237,O/L,General,Merit,Probation period
2386,1237,Certificate in Nursing,Healthcare,Merit,Requires visa
2387,1237,A/L,General,Distinction,Requires visa
2388,1238,NVQ Level 4,Vocational,Pass,
2389,1239,NVQ Level 3,Vocational,Distinction,Training provided
2390,1239,O/L,General,,Requires visa
2391,1240,O/L,General,,Standard contract
2392,1240,NVQ Level 3,Vocational,Distinction,Training provided
2393,1241,Certificate in Welding,Construction,Merit,Requires visa
2394,1241,Certificate in Heavy Vehicle Operation,Transportation,Merit,Standard contract
2395,1242,Certificate in Carpentry,Construction,Merit,Requires visa
2396,1242,NVQ Level 3,Vocational,Pass,Standard contract
2397,1243,Certificate in Masonry,Construction,,Requires visa
2398,1243,NVQ Level 3,Vocational,Merit,Training provided
2399,1244,NVQ Level 3,Vocational,Pass,Standard contract
2400,1245,Certificate in Hospitality,Hospitality,Distinction,Standard contract
2401,1246,Certificate in Welding,Construction,Distinction,Training provided
2402,1246,NVQ Level 3,Vocational,Pass,Standard contract
2403,1247,O/L,General,Pass,Requires visa
2404,1247,Certificate in Caregiving,Healthcare,Merit,Training provided
2405,1248,NVQ Level 2,Vocational,Pass,Probation period
2406,1248,O/L,General,Distinction,Training provided
2407,1248,NVQ Level 3,Vocational,Pass,Requires visa
2408,1249,Certificate in Nursing,Healthcare,Merit,Training provided
2409,1249,A/L,General,Distinction,Training provided
2410,1249,Diploma in Nursing,Healthcare,Merit,Requires visa
2411,1250,O/L,General,Pass,Standard contract
2412,1251,NVQ Level 4,Vocational,Merit,Requires visa
2413,1251,Certificate in Sewing,Textile,Pass,Training provided
2414,1251,O/L,General,Distinction,Standard contract
2415,1252,Certificate in Plumbing,Construction,Distinction,
2416,1252,Certificate in Accounting,Business,Distinction,Training provided
2417,1253,O/L,General,Distinction,Probation period
2418,1254,Certificate in Domestic Work,Domestic Services,Distinction,Training provided
2419,1254,O/L,General,Distinction,Requires visa
2420,1255,A/L,General,Merit,Requires visa
2421,1255,Bachelor's Degree,General,Distinction,Standard contract
2422,1255,Diploma in IT,Information Technology,Distinction,Training provided
2423,1256,NVQ Level 2,Vocational,,
2424,1256,O/L,General,Pass,Probation period
2425,1257,Bachelor's Degree,General,Distinction,
2426,1257,Diploma in IT,Information Technology,Merit,Probation period
2427,1258,NVQ Level 3,Vocational,,
2428,1258,A/L,General,Merit,
2429,1258,O/L,General,,Requires visa
2430,1259,Certificate in Cooking,Hospitality,Merit,Training provided
2431,1260,NVQ Level 4,Vocational,Distinction,Standard contract
2432,1260,Certificate in Carpentry,Construction,Distinction,Training provided
2433,1261,NVQ Level 2,Vocational,Merit,Probation period
2434,1261,O/L,General,Distinction,Requires visa
2435,1262,Certificate in Domestic Work,Domestic Services,Merit,Training provided
2436,1262,NVQ Level 2,Vocational,Distinction,Requires visa
2437,1262,O/L,General,,Standard contract
2438,1263,Certificate in Sewing,Textile,Pass,Requires visa
2439,1264,NVQ Level 4,Vocational,Merit,Standard contract
2440,1265,O/L,General,,Probation period
2441,1265,Diploma in Nursing,Healthcare,,
2442,1266,NVQ Level 2,Vocational,Pass,Training provided
2443,1266,NVQ Level 3,Vocational,,Standard contract
2444,1267,Certificate in Domestic Work,Domestic Services,,
2445,1268,Certificate in Hospitality,Hospitality,Pass,Probation period
2446,1268,A/L,General,Distinction,Requires visa
2447,1268,Diploma in Hospitality,Hospitality,Distinction,Requires visa
2448,1269,Certificate in Caregiving,Healthcare,Merit,
2449,1269,NVQ Level 4,Vocational,Distinction,Probation period
2450,1270,Diploma in Nursing,Healthcare,,Standard contract
2451,1270,NVQ Level 4,Vocational,,
2452,1270,Certificate in Nursing,Healthcare,,Training provided
2453,1271,NVQ Level 4,Vocational,Merit,Standard contract
2454,1272,Certificate in Caregiving,Healthcare,,
2455,1272,O/L,General,Pass,Standard contract
2456,1272,NVQ Level 3,Vocational,,Probation period
2457,1273,NVQ Level 4,Vocational,Merit,Probation period
2458,1273,Certificate in Carpentry,Construction,,
2459,1274,Certificate in Welding,Construction,Merit,Training provided
2460,1275,Certificate in Electrical Work,Construction,,
2461,1276,Certificate in Caregiving,Healthcare,Merit,Standard contract
2462,1276,Diploma in Nursing,Healthcare,Distinction,Requires visa
2463,1277,O/L,General,Distinction,Standard contract
2464,1278,Certificate in Carpentry,Construction,Pass,Training provided
2465,1279,O/L,General,Merit,Probation period
2466,1279,NVQ Level 3,Vocational,Pass,
2467,1279,Certificate in Hairdressing,General,Pass,Probation period
2468,1280,Diploma in Hospitality,Hospitality,,
2469,1280,NVQ Level 3,Vocational,,Probation period
2470,1281,O/L,General,,
2471,1282,Certificate in Hospitality,Hospitality,Pass,Probation period
2472,1283,O/L,General,Merit,Probation period
2473,1283,NVQ Level 3,Vocational,Merit,Training provided
2474,1284,Certificate in Plumbing,Construction,Distinction,
2475,1284,NVQ Level 3,Vocational,Distinction,Standard contract
2476,1285,Diploma in Hospitality,Hospitality,Distinction,Probation period
2477,1285,Certificate in Cooking,Hospitality,Pass,Probation period
2478,1286,NVQ Level 3,Vocational,Pass,Standard contract
2479,1286,O/L,General,Distinction,Probation period
2480,1286,NVQ Level 4,Vocational,,Probation period
2481,1287,A/L,General,Merit,Standard contract
2482,1287,NVQ Level 3,Vocational,Pass,Standard contract
2483,1288,Certificate in Sewing,Textile,Pass,Standard contract
2484,1288,NVQ Level 4,Vocational,Merit,Standard contract
2485,1288,O/L,General,Pass,
2486,1289,Diploma in Hospitality,Hospitality,Distinction,Standard contract
2487,1290,O/L,General,Pass,Training provided
2488,1290,NVQ Level 3,Vocational,Merit,Probation period
2489,1291,Certificate in Sewing,Textile,Pass,Training provided
2490,1292,NVQ Level 4,Vocational,Pass,
2491,1293,NVQ Level 3,Vocational,,Requires visa
2492,1294,NVQ Level 2,Vocational,Merit,
2493,1294,Certificate in Domestic Work,Domestic Services,Distinction,Requires visa
2494,1295,O/L,General,Merit,Requires visa
2495,1296,A/L,General,Distinction,Requires visa
2496,1296,NVQ Level 1,Vocational,Merit,Probation period
2497,1297,NVQ Level 3,Vocational,,Requires visa
2498,1298,O/L,General,Distinction,
2499,1299,O/L,General,Merit,Probation period
2500,1299,NVQ Level 3,Vocational,Distinction,
2501,1300,NVQ Level 3,Vocational,,Training provided
2502,1301,Diploma in Hospitality,Hospitality,Pass,Probation period
2503,1301,NVQ Level 4,Vocational,Pass,
2504,1301,A/L,General,Pass,Probation period
2505,1302,NVQ Level 3,Vocational,,Standard contract
2506,1303,Certificate in Welding,Construction,Merit,Requires visa
2507,1303,O/L,General,,Requires visa
2508,1303,NVQ Level 4,Vocational,,Training provided
2509,1304,Certificate in Caregiving,Healthcare,,Probation period
2510,1304,NVQ Level 3,Vocational,Pass,Requires visa
2511,1304,O/L,General,Merit,Probation period
2512,1305,Certificate in Electrical Work,Construction,Pass,Standard contract
2513,1305,Certificate in Masonry,Construction,Distinction,Probation period
2514,1306,O/L,General,Merit,Probation period
2515,1306,NVQ Level 4,Vocational,Distinction,
2516,1307,NVQ Level 3,Vocational,,Requires visa
2517,1307,NVQ Level 4,Vocational,Pass,
2518,1307,O/L,General,Distinction,Requires visa
2519,1308,NVQ Level 4,Vocational,Merit,Probation period
2520,1309,NVQ Level 3,Vocational,,Training provided
2521,1309,O/L,General,Merit,Probation period
2522,1310,O/L,General,Pass,
2523,1311,Diploma in Nursing,Healthcare,Pass,Training provided
2524,1312,NVQ Level 4,Vocational,Distinction,Probation period
2525,1312,A/L,General,,Requires visa
2526,1312,NVQ Level 3,Vocational,Merit,
2527,1313,Certificate in Driving,Transportation,Pass,Requires visa
2528,1314,NVQ Level 3,Vocational,Pass,
2529,1315,O/L,General,,Training provided
2530,1315,Certificate in Domestic Work,Domestic Services,Distinction,Requires visa
2531,1315,NVQ Level 2,Vocational,,
2532,1316,Certificate in Domestic Work,Domestic Services,,Probation period
2533,1316,O/L,General,Merit,Training provided
2534,1317,O/L,General,Merit,
2535,1317,NVQ Level 3,Vocational,,Standard contract
2536,1318,Diploma in Hospitality,Hospitality,Merit,Requires visa
2537,1319,NVQ Level 3,Vocational,,Probation period
2538,1319,O/L,General,Distinction,Requires visa
2539,1320,NVQ Level 3,Vocational,Distinction,Training provided
2540,1320,O/L,General,Merit,Probation period
2541,1321,Certificate in Nursing,Healthcare,Merit,Probation period
2542,1322,O/L,General,Merit,
2543,1322,NVQ Level 4,Vocational,Distinction,Training provided
2544,1323,NVQ Level 4,Vocational,Merit,Standard contract
2545,1323,Certificate in Welding,Construction,Merit,Requires visa
2546,1324,O/L,General,Pass,Probation period
2547,1324,NVQ Level 3,Vocational,Distinction,Standard contract
2548,1325,NVQ Level 3,Vocational,Merit,
2549,1326,Certificate in Plumbing,Construction,Pass,
2550,1326,Certificate in Carpentry,Construction,Merit,
2551,1326,Certificate in Electrical Work,Construction,Distinction,Training provided
2552,1327,NVQ Level 4,Vocational,Merit,
2553,1328,Certificate in Electrical Work,Construction,,Requires visa
2554,1329,O/L,General,Pass,Probation period
2555,1329,Certificate in Sewing,Textile,Distinction,Requires visa
2556,1329,NVQ Level 4,Vocational,,
2557,1330,Certificate in Welding,Construction,Distinction,Standard contract
2558,1330,Certificate in Electrical Work,Construction,Merit,Standard contract
2559,1331,Certificate in Driving,Transportation,,Requires visa
2560,1331,O/L,General,,Standard contract
2561,1332,NVQ Level 3,Vocational,Merit,Probation period
2562,1333,NVQ Level 3,Vocational,Distinction,
2563,1333,NVQ Level 2,Vocational,Pass,Requires visa
2564,1334,O/L,General,Merit,Probation period
2565,1334,Certificate in Domestic Work,Domestic Services,,Requires visa
2566,1334,NVQ Level 3,Vocational,,Training provided
2567,1335,NVQ Level 3,Vocational,,Probation period
2568,1335,NVQ Level 4,Vocational,Merit,Probation period
2569,1335,Certificate in Sewing,Textile,Merit,Probation period
2570,1336,NVQ Level 4,Vocational,Pass,Requires visa
2571,1337,NVQ Level 3,Vocational,Pass,Requires visa
2572,1337,O/L,General,Distinction,Standard contract
2573,1338,Certificate in Sewing,Textile,Merit,Training provided
2574,1338,O/L,General,Merit,Requires visa
2575,1338,NVQ Level 4,Vocational,Merit,Requires visa
2576,1339,NVQ Level 3,Vocational,,Probation period
2577,1339,O/L,General,,Standard contract
2578,1340,Certificate in Masonry,Construction,Pass,Standard contract
2579,1340,NVQ Level 4,Vocational,Distinction,Probation period
2580,1341,Certificate in Nursing,Healthcare,Merit,Requires visa
2581,1341,Certificate in Caregiving,Healthcare,,Training provided
2582,1342,Certificate in Domestic Work,Domestic Services,,
2583,1342,Certificate in Caregiving,Healthcare,,Probation period
2584,1342,NVQ Level 3,Vocational,Pass,
2585,1343,NVQ Level 3,Vocational,Pass,
2586,1343,O/L,General,Distinction,
2587,1344,NVQ Level 3,Vocational,Merit,Standard contract
2588,1345,O/L,General,Pass,Requires visa
2589,1345,NVQ Level 4,Vocational,Merit,Standard contract
2590,1346,NVQ Level 3,Vocational,Pass,Training provided
