EmploymentID,PersonalID,EmploymentSector,Employer,Country,Occupation,StartDate,EndDate,DurationMonths
1558,1295,Cleaning Services,Island Enterprises,Saudi Arabia,Housemaid,2024-05-27,2024-11-19,6
1559,1297,Engineering & Technical,Hotel Inc,Saudi Arabia,Gardener,2010-12-12,2014-01-09,38
1560,1297,Engineering & Technical,Lanka Corp,Turkey,Gardener,2018-04-29,2018-08-31,5
1561,1297,Retail & Sales,Tea Pvt,United Arab Emirates,Gardener,2020-01-24,2021-03-21,15
1562,1297,Agriculture & Fishery,Construction Inc,Saudi Arabia,Gardener,2022-05-15,2023-09-17,17
1563,1299,Education & Training,Tech Plantations,Bahrain,Logistics Coordinator,2019-11-20,2022-07-29,33
1564,1299,Retail & Sales,Construction Enterprises,Saudi Arabia,Logistics Coordinator,2022-10-19,2023-04-17,6
1565,1306,Garment & Apparel,Island Group,Saudi Arabia,Nursing Assistant,2014-04-19,2020-08-03,77
1566,1306,Security Services,Island Pvt,Bahrain,Nursing Assistant,2021-03-24,2024-03-03,36
1567,1307,Logistics & Warehousing,Gem Inc,United Arab Emirates,Driver,2016-01-15,2019-01-14,37
1568,1307,Driving & Transportation,Gem Co,United Arab Emirates,Driver,2021-10-26,2022-11-12,13
1569,1308,Driving & Transportation,Island Co,Saudi Arabia,Driver,2017-07-07,2019-11-17,29
1570,1310,Logistics & Warehousing,Island Pvt,United Kingdom,Hotel Housekeeper,2013-04-27,2016-09-20,42
1571,1310,Driving & Transportation,Lanka Group,Saudi Arabia,Hotel Housekeeper,2020-01-07,2025-02-18,63
1572,1313,Domestic Services,Tech Pvt,Kuwait,Housemaid,2018-11-20,2021-07-12,33
1573,1314,Security Services,Construction Solutions,Turkey,Cook,2013-05-14,2017-03-26,48
1574,1314,Engineering & Technical,Hotel Inc,United Arab Emirates,Cook,2017-05-10,2018-09-18,17
1575,1316,Textile & Sewing,Hotel Plantations,Saudi Arabia,Logistics Coordinator,2013-02-10,2020-08-04,92
1576,1316,Hospitality & Tourism,Construction Pvt,Saudi Arabia,Logistics Coordinator,2023-02-07,2025-08-04,31
1577,1317,Garment & Apparel,Gem Inc,Bahrain,Factory Worker,2013-01-29,2014-05-22,16
1578,1317,Facility Management,Construction Solutions,Kuwait,Factory Worker,2016-08-29,2017-09-06,13
1579,1317,Healthcare & Nursing,Construction Co,Israel,Factory Worker,2020-09-02,2024-12-10,52
1580,1318,Education & Training,Island Co,Malaysia,Machine Operator,2022-12-13,2022-12-24,1
1581,1318,Education & Training,Island Inc,Saudi Arabia,Machine Operator,2022-12-30,2025-08-11,32
1582,1320,Driving & Transportation,Ceylon Inc,Kuwait,Electrician,2015-01-16,2018-01-31,38
1583,1322,Beauty & Personal Care,Tech Ltd,Oman,Cook,2015-07-31,2016-02-10,7
1584,1322,Cleaning Services,Lanka Corp,New Zealand,Cook,2016-02-16,2018-04-08,27
1585,1322,Driving & Transportation,Construction Pvt,Bahrain,Cook,2018-05-09,2024-10-01,78
1586,1323,Agriculture & Fishery,Sri Ltd,Malaysia,Technician,2013-12-13,2016-07-30,32
1587,1323,Agriculture & Fishery,Island Group,Saudi Arabia,Technician,2018-12-26,2019-05-31,6
1588,1323,Security Services,Tech Pvt,Saudi Arabia,Technician,2019-08-09,2022-11-29,41
1589,1324,Driving & Transportation,Ceylon Solutions,United Arab Emirates,Driver,2014-09-16,2018-03-07,43
1590,1324,Driving & Transportation,Construction Group,Qatar,Driver,2018-06-25,2021-06-28,37
1591,1326,Cleaning Services,Island Enterprises,Qatar,Chef,2014-08-07,2015-09-24,14
1592,1326,IT & Professional Services,Lanka Enterprises,United Arab Emirates,Chef,2015-11-24,2019-06-25,44
1593,1326,IT & Professional Services,Tea Pvt,Kuwait,Chef,2020-04-11,2021-11-06,20
1594,1326,Facility Management,Tea Corp,Hong Kong,Chef,2022-03-09,2025-04-23,39
1595,1328,Driving & Transportation,Ceylon Ltd,Qatar,Driver,2012-03-03,2015-02-24,37
1596,1328,Logistics & Warehousing,Sri Group,Saudi Arabia,Driver,2021-04-12,2023-04-21,25
1597,1329,Manufacturing,Tea Group,Kuwait,Barista,2011-05-04,2016-02-18,59
1598,1329,Domestic Services,Tea Pvt,United Arab Emirates,Barista,2018-12-09,2025-08-13,82
1599,1330,Healthcare & Nursing,Apparel Co,Saudi Arabia,Cleaner,2012-09-24,2020-03-29,92
1600,1331,Engineering & Technical,Hotel Group,United Arab Emirates,Technician,2023-05-22,2024-05-27,13
1601,1332,IT & Professional Services,Gem Group,Oman,Sewing Machine Operator,2019-09-06,2022-08-12,36
1602,1334,Cleaning Services,Island Ltd,Maldives,Construction Supervisor,2017-01-08,2017-09-26,9
1603,1334,IT & Professional Services,Tea Corp,Saudi Arabia,Construction Supervisor,2019-07-06,2020-12-01,18
1604,1337,Logistics & Warehousing,Gem Ltd,Canada,Nurse,2018-01-17,2018-05-24,5
1605,1338,Driving & Transportation,Tea Group,Hong Kong,Logistics Coordinator,2015-07-16,2019-04-23,46
1606,1339,Domestic Services,Construction Co,Kuwait,Hairdresser,2022-05-22,2024-12-07,31
1607,1340,Domestic Services,Apparel Plantations,Kuwait,Delivery Driver,2014-06-10,2020-06-24,74
1609,1342,Logistics & Warehousing,Lanka Solutions,Saudi Arabia,Nursing Assistant,2016-10-17,2019-12-04,39
1610,1343,Retail & Sales,Lanka Inc,Saudi Arabia,Hotel Housekeeper,2022-05-18,2022-09-24,5
1611,1344,Agriculture & Fishery,Construction Pvt,Qatar,Technician,2014-12-03,2014-12-12,1
1612,1344,Engineering & Technical,Sri Plantations,South Korea,Technician,2014-12-22,2016-02-16,15
1613,1344,Cleaning Services,Lanka Plantations,Kuwait,Technician,2018-04-18,2024-02-23,72
1614,1345,Logistics & Warehousing,Tea Inc,United Arab Emirates,Receptionist,2014-02-13,2020-08-27,80
1615,1345,Healthcare & Nursing,Sri Ltd,Malaysia,Receptionist,2022-11-29,2023-01-07,2
1616,1347,Driving & Transportation,Tech Inc,Saudi Arabia,Salesperson,2011-02-05,2011-07-30,6
1617,1347,Cleaning Services,Tech Plantations,Saudi Arabia,Salesperson,2015-01-04,2024-06-19,116
1618,1349,Beauty & Personal Care,Hotel Plantations,Maldives,Gardener,2021-07-15,2021-07-23,1
1619,1350,Domestic Services,Hotel Corp,Kuwait,Caregiver,2015-12-07,2016-06-13,7
1620,1350,Domestic Services,Hotel Group,United Arab Emirates,Caregiver,2017-03-17,2020-03-19,37
1621,1350,Domestic Services,Sri Group,Qatar,Caregiver,2020-12-26,2022-07-18,19
1622,1350,Domestic Services,Apparel Co,Saudi Arabia,Caregiver,2022-08-28,2024-07-31,24
1623,1351,Facility Management,Ceylon Inc,Saudi Arabia,Gardener,2010-11-19,2017-01-31,76
1624,1351,Healthcare & Nursing,Sri Corp,Kuwait,Gardener,2017-02-22,2018-12-07,22
1625,1354,Healthcare & Nursing,Ceylon Co,Saudi Arabia,Cleaner,2013-11-09,2016-11-09,37
1626,1357,Garment & Apparel,Sri Solutions,Kuwait,Maintenance Worker,2012-07-01,2013-02-16,8
1627,1357,Agriculture & Fishery,Gem Corp,Qatar,Maintenance Worker,2021-06-06,2022-02-19,9
1628,1357,Logistics & Warehousing,Ceylon Group,United Arab Emirates,Maintenance Worker,2022-08-11,2022-11-05,3
1629,1357,Facility Management,Tea Enterprises,Kuwait,Maintenance Worker,2023-08-07,2025-01-07,18
1630,1358,Manufacturing,Apparel Solutions,South Korea,Welder,2016-04-03,2018-05-04,26
1631,1360,Facility Management,Hotel Enterprises,Bahrain,Agricultural Worker,2023-11-29,2024-07-10,8
1632,1361,Security Services,Tea Pvt,Qatar,Hairdresser,2018-05-08,2018-08-10,4
1633,1361,Agriculture & Fishery,Apparel Co,Israel,Hairdresser,2022-09-11,2022-10-19,2
1634,1361,Domestic Services,Apparel Corp,United Arab Emirates,Hairdresser,2022-11-18,2023-06-18,8
1636,1362,Facility Management,Tech Enterprises,Russia,Kitchen Helper,2017-01-06,2017-02-01,1
1637,1362,Driving & Transportation,Tea Ltd,United Arab Emirates,Kitchen Helper,2023-08-20,2024-11-22,16
1638,1364,Cleaning Services,Ceylon Inc,Kuwait,Housemaid,2010-11-23,2012-02-15,15
1639,1364,Cleaning Services,Tech Enterprises,Kuwait,Housemaid,2020-01-04,2022-11-02,35
1640,1365,Healthcare & Nursing,Apparel Group,Israel,Hairdresser,2014-01-14,2014-08-06,7
1641,1365,Cleaning Services,Island Enterprises,Canada,Hairdresser,2017-09-05,2018-03-10,7
1642,1366,Retail & Sales,Sri Inc,Kuwait,Domestic Worker,2014-01-24,2017-11-14,47
1643,1366,Retail & Sales,Apparel Co,Hong Kong,Domestic Worker,2019-01-21,2020-07-12,18
1644,1366,Cleaning Services,Gem Plantations,Saudi Arabia,Domestic Worker,2020-11-01,2022-12-07,26
1645,1369,Domestic Services,Island Ltd,Qatar,Housemaid,2012-08-22,2015-05-07,33
1646,1369,Cleaning Services,Island Group,Saudi Arabia,Housemaid,2018-11-17,2020-06-15,20
1647,1369,Cleaning Services,Ceylon Group,Saudi Arabia,Housemaid,2020-10-31,2024-12-16,51
1648,1370,Domestic Services,Tech Plantations,Saudi Arabia,Caregiver,2019-09-08,2021-08-28,24
1649,1370,Domestic Services,Tea Solutions,Qatar,Caregiver,2023-04-26,2024-08-08,16
1650,1373,Cleaning Services,Hotel Corp,Russia,General Labourer,2014-09-11,2019-05-13,57
1651,1377,Domestic Services,Sri Pvt,Kuwait,Housemaid,2017-05-31,2017-07-25,2
1652,1377,Domestic Services,Hotel Inc,Qatar,Housemaid,2021-11-11,2023-09-04,23
1653,1378,Manufacturing,Island Enterprises,Saudi Arabia,Welder,2017-04-30,2019-12-25,33
1654,1378,Manufacturing,Construction Plantations,Saudi Arabia,Welder,2020-06-02,2020-06-24,1
1655,1378,Construction,Tea Plantations,Saudi Arabia,Welder,2020-07-25,2024-05-13,47
1656,1380,Domestic Services,Tech Enterprises,United Kingdom,Hairdresser,2013-12-24,2015-12-26,25
1657,1380,Healthcare & Nursing,Island Corp,United Arab Emirates,Hairdresser,2016-10-08,2016-12-09,3
1658,1380,Driving & Transportation,Lanka Inc,Maldives,Hairdresser,2017-12-11,2018-11-03,11
1659,1380,Construction,Lanka Solutions,Cyprus,Hairdresser,2018-12-08,2019-10-02,10
1660,1381,Retail & Sales,Sri Ltd,United Arab Emirates,Heavy Vehicle Operator,2013-07-10,2014-01-21,7
1661,1381,Garment & Apparel,Island Corp,Qatar,Heavy Vehicle Operator,2017-05-15,2020-05-02,37
1662,1381,Hospitality & Tourism,Island Pvt,United Arab Emirates,Heavy Vehicle Operator,2021-02-12,2023-12-08,35
1663,1385,Domestic Services,Hotel Plantations,Japan,Bar Bender,2013-10-15,2019-07-21,71
1664,1386,Cleaning Services,Tech Corp,Hong Kong,Nurse,2013-03-01,2017-02-06,48
1665,1386,Construction,Sri Plantations,Serbia,Nurse,2017-10-17,2019-10-07,24
1666,1386,Construction,Ceylon Inc,Hong Kong,Nurse,2023-12-09,2025-01-20,14
1667,1387,Engineering & Technical,Hotel Inc,Qatar,General Labourer,2013-04-07,2017-02-19,48
1668,1387,IT & Professional Services,Tech Group,Qatar,General Labourer,2017-09-30,2017-12-15,3
1669,1387,Healthcare & Nursing,Hotel Ltd,Saudi Arabia,General Labourer,2020-03-06,2021-02-23,12
1671,1389,Manufacturing,Apparel Group,Turkey,Hotel Housekeeper,2014-10-31,2017-09-03,35
1672,1389,IT & Professional Services,Ceylon Solutions,Saudi Arabia,Hotel Housekeeper,2019-08-26,2019-09-11,1
1673,1389,Engineering & Technical,Island Pvt,Qatar,Hotel Housekeeper,2023-11-08,2025-08-09,22
1674,1390,Agriculture & Fishery,Island Co,South Korea,Machine Operator,2021-06-11,2021-11-26,6
1675,1391,Domestic Services,Lanka Ltd,Saudi Arabia,Housemaid,2014-02-18,2021-02-24,86
1676,1391,Domestic Services,Hotel Ltd,Saudi Arabia,Housemaid,2021-10-29,2024-02-28,29
1677,1393,Beauty & Personal Care,Construction Plantations,Kuwait,Logistics Coordinator,2014-05-05,2017-08-17,40
1679,1394,Manufacturing,Island Solutions,South Korea,Welder,2011-05-14,2022-05-08,134
1680,1395,Textile & Sewing,Gem Ltd,United Arab Emirates,House Driver,2015-02-28,2015-08-09,6
1681,1395,Beauty & Personal Care,Gem Co,Japan,House Driver,2017-11-16,2017-12-03,1
1682,1395,Manufacturing,Tea Group,Saudi Arabia,House Driver,2017-12-11,2021-05-04,42
1683,1396,Hospitality & Tourism,Gem Group,Japan,Accountant,2014-11-02,2016-10-20,24
1684,1396,Domestic Services,Construction Corp,Saudi Arabia,Accountant,2017-07-22,2020-04-13,34
1685,1396,Construction,Island Pvt,Saudi Arabia,Accountant,2020-11-17,2025-06-26,57
1686,1397,Domestic Services,Apparel Ltd,Japan,Cleaner,2012-11-09,2017-03-29,54
1687,1397,Textile & Sewing,Sri Plantations,United Kingdom,Cleaner,2020-08-07,2020-09-01,1
1688,1397,Beauty & Personal Care,Gem Corp,Japan,Cleaner,2021-03-30,2021-04-29,1
1689,1398,Driving & Transportation,Tech Enterprises,Saudi Arabia,Driver,2016-07-12,2016-11-01,4
1690,1398,Driving & Transportation,Apparel Group,Saudi Arabia,Driver,2016-11-26,2017-03-08,4
1691,1398,Driving & Transportation,Tea Solutions,United Arab Emirates,Driver,2017-04-22,2020-04-22,37
1693,1401,Garment & Apparel,Tea Inc,Malaysia,Sewing Machine Operator,2011-12-10,2012-08-09,9
1694,1402,Logistics & Warehousing,Tech Enterprises,Saudi Arabia,Driver,2014-01-28,2014-08-01,7
1695,1402,Logistics & Warehousing,Apparel Plantations,Qatar,Driver,2015-05-18,2017-07-13,27
1696,1402,Driving & Transportation,Lanka Group,Saudi Arabia,Driver,2019-04-29,2021-11-25,32
1697,1402,Driving & Transportation,Island Inc,Qatar,Driver,2021-12-10,2023-03-01,15
1698,1403,Beauty & Personal Care,Tech Group,Oman,House Driver,2013-10-24,2014-08-04,10
1699,1403,Hospitality & Tourism,Gem Plantations,Qatar,House Driver,2014-08-21,2018-04-12,45
1700,1403,Engineering & Technical,Tech Corp,Maldives,House Driver,2019-10-20,2021-03-13,17
1701,1403,Driving & Transportation,Construction Inc,Qatar,House Driver,2021-03-26,2024-12-24,46
1702,1406,Retail & Sales,Lanka Co,Lebanon,Construction Helper,2018-02-05,2022-01-19,49
1703,1406,Logistics & Warehousing,Hotel Plantations,United Arab Emirates,Construction Helper,2023-03-26,2024-10-01,19
1704,1407,Hospitality & Tourism,Sri Group,Romania,Domestic Worker,2013-08-19,2019-06-06,71
1705,1409,Cleaning Services,Hotel Plantations,United Arab Emirates,Construction Supervisor,2023-03-26,2023-08-05,5
1706,1409,IT & Professional Services,Sri Ltd,Russia,Construction Supervisor,2024-01-09,2024-02-14,2
1707,1409,Garment & Apparel,Hotel Co,United Arab Emirates,Construction Supervisor,2024-04-19,2025-05-19,14
1708,1411,Education & Training,Sri Ltd,Maldives,Construction Supervisor,2020-05-27,2020-12-31,8
1709,1412,Engineering & Technical,Tech Group,Kuwait,Technician,2015-01-28,2020-05-11,65
1710,1413,Agriculture & Fishery,Sri Pvt,Saudi Arabia,Waiter,2017-08-25,2020-01-12,29
1711,1414,Facility Management,Tech Ltd,Qatar,Construction Supervisor,2011-10-11,2015-04-24,44
1712,1414,Cleaning Services,Island Inc,New Zealand,Construction Supervisor,2016-05-25,2016-09-17,4
1713,1415,Textile & Sewing,Lanka Group,South Korea,Fishery Worker,2013-11-29,2014-05-17,6
1714,1415,Manufacturing,Hotel Group,Lebanon,Fishery Worker,2015-02-03,2015-03-27,2
1715,1415,IT & Professional Services,Apparel Pvt,Qatar,Fishery Worker,2016-02-16,2020-05-05,52
1716,1415,Garment & Apparel,Ceylon Enterprises,Saudi Arabia,Fishery Worker,2020-06-11,2024-05-31,49
1717,1417,Manufacturing,Gem Plantations,Jordan,Agricultural Worker,2014-09-28,2024-10-09,123
1719,1421,Domestic Services,Apparel Solutions,Kuwait,Caregiver,2013-08-28,2014-09-19,13
1720,1421,Domestic Services,Hotel Group,Kuwait,Caregiver,2017-07-15,2018-07-29,13
1721,1421,Healthcare & Nursing,Apparel Inc,Qatar,Caregiver,2018-08-19,2018-12-12,4
1722,1422,Logistics & Warehousing,Lanka Corp,Australia,Nursing Assistant,2020-09-12,2023-09-07,37
1723,1425,IT & Professional Services,Sri Co,Qatar,Domestic Worker,2013-01-21,2016-04-02,39
1724,1425,Facility Management,Island Enterprises,Hong Kong,Domestic Worker,2017-07-19,2017-08-24,2
1725,1425,Construction,Gem Enterprises,Saudi Arabia,Domestic Worker,2018-02-19,2018-12-07,10
1727,1426,Facility Management,Gem Inc,Saudi Arabia,Nursing Assistant,2014-02-14,2014-10-15,9
1728,1426,Driving & Transportation,Apparel Group,Qatar,Nursing Assistant,2019-02-24,2020-12-09,22
1729,1426,Security Services,Apparel Pvt,United Arab Emirates,Nursing Assistant,2021-06-26,2022-06-06,12
1730,1426,Driving & Transportation,Lanka Corp,Kuwait,Nursing Assistant,2024-03-11,2025-05-05,14
1731,1428,Driving & Transportation,Ceylon Corp,Maldives,Teacher Assistant,2022-03-05,2023-10-17,20
1732,1430,Manufacturing,Tech Ltd,Kuwait,Nurse,2013-09-10,2013-10-17,2
1733,1430,Healthcare & Nursing,Apparel Inc,Qatar,Nurse,2014-01-20,2016-11-06,35
1734,1430,Manufacturing,Construction Pvt,Qatar,Nurse,2024-06-09,2025-05-07,12
1735,1431,Agriculture & Fishery,Tea Enterprises,Canada,Teacher Assistant,2013-04-13,2013-07-27,4
1736,1431,Agriculture & Fishery,Hotel Corp,New Zealand,Teacher Assistant,2016-01-05,2016-11-07,11
1737,1431,Facility Management,Sri Pvt,United Arab Emirates,Teacher Assistant,2017-05-07,2021-10-21,55
1738,1431,Construction,Sri Solutions,Saudi Arabia,Teacher Assistant,2023-10-27,2024-08-27,11
1739,1432,Beauty & Personal Care,Apparel Ltd,Maldives,Cleaner,2015-09-23,2016-09-16,12
1740,1432,Textile & Sewing,Construction Co,Saudi Arabia,Cleaner,2023-04-12,2025-02-13,23
1741,1433,Driving & Transportation,Apparel Group,Qatar,Forklift Operator,2011-11-21,2019-01-09,87
1742,1433,Engineering & Technical,Sri Inc,United Arab Emirates,Forklift Operator,2021-08-26,2024-08-07,36
1743,1434,Healthcare & Nursing,Island Enterprises,United Arab Emirates,Caregiver,2013-08-28,2020-08-10,85
1744,1436,Hospitality & Tourism,Gem Co,United Kingdom,Engineer,2016-09-13,2024-08-13,97
1745,1437,Logistics & Warehousing,Construction Group,Maldives,General Labourer,2011-10-05,2012-12-15,15
1746,1437,Driving & Transportation,Apparel Co,Oman,General Labourer,2013-08-04,2021-05-15,95
1747,1437,Textile & Sewing,Lanka Plantations,Qatar,General Labourer,2021-06-23,2023-05-15,24
1748,1442,Manufacturing,Apparel Inc,Qatar,Janitor,2015-06-02,2019-11-25,55
1749,1444,Engineering & Technical,Apparel Solutions,Kuwait,Salesperson,2013-09-12,2013-12-01,3
1750,1444,Construction,Ceylon Ltd,Qatar,Salesperson,2013-12-29,2018-01-17,50
1751,1444,Construction,Hotel Inc,Qatar,Salesperson,2019-04-15,2021-12-11,33
1753,1446,Logistics & Warehousing,Sri Ltd,United Arab Emirates,Driver,2013-12-31,2014-01-12,1
1754,1446,Logistics & Warehousing,Apparel Inc,Saudi Arabia,Driver,2014-06-02,2015-06-18,13
1755,1446,Driving & Transportation,Hotel Pvt,Qatar,Driver,2016-09-24,2025-02-08,102
1756,1447,Domestic Services,Apparel Enterprises,Saudi Arabia,Accountant,2022-02-15,2023-02-18,13
1757,1448,Agriculture & Fishery,Tech Group,Japan,Technician,2018-10-06,2018-12-11,3
1758,1448,Agriculture & Fishery,Ceylon Co,Saudi Arabia,Technician,2023-03-19,2025-02-03,23
1759,1449,Construction,Apparel Enterprises,Saudi Arabia,Maintenance Worker,2017-12-10,2020-12-24,37
1760,1450,Engineering & Technical,Tech Plantations,Saudi Arabia,Gardener,2011-01-10,2019-02-27,99
1761,1450,Logistics & Warehousing,Tech Corp,Maldives,Gardener,2019-05-24,2019-11-06,6
1762,1450,Healthcare & Nursing,Tea Co,United Arab Emirates,Gardener,2020-05-29,2022-10-08,29
1763,1452,Domestic Services,Tea Corp,United Kingdom,Bar Bender,2011-01-12,2011-07-05,6
1764,1452,IT & Professional Services,Gem Inc,South Korea,Bar Bender,2020-12-15,2021-06-14,7
1765,1452,Textile & Sewing,Tea Pvt,Saudi Arabia,Bar Bender,2021-10-16,2025-01-11,40
1766,1454,IT & Professional Services,Sri Pvt,Saudi Arabia,Receptionist,2019-07-05,2022-10-03,40
1767,1455,Textile & Sewing,Ceylon Co,United Arab Emirates,Construction Supervisor,2015-06-16,2015-08-30,3
1768,1455,Garment & Apparel,Tech Inc,Romania,Construction Supervisor,2016-05-22,2017-06-13,13
1769,1455,Domestic Services,Apparel Co,United Arab Emirates,Construction Supervisor,2019-12-02,2021-05-05,18
1770,1456,Logistics & Warehousing,Gem Plantations,Romania,Electrician,2018-09-09,2018-10-17,2
1771,1456,Security Services,Tech Corp,Saudi Arabia,Electrician,2021-03-29,2021-08-28,6
1772,1456,Textile & Sewing,Tech Ltd,United Arab Emirates,Electrician,2022-03-03,2023-05-06,15
1773,1456,Agriculture & Fishery,Hotel Corp,Kuwait,Electrician,2023-07-06,2023-09-26,3
1774,1457,Healthcare & Nursing,Ceylon Pvt,Saudi Arabia,Nursing Assistant,2016-09-08,2024-06-10,95
1775,1458,Beauty & Personal Care,Gem Inc,Jordan,Plumber,2019-10-24,2023-06-30,45
1776,1461,Garment & Apparel,Ceylon Pvt,Turkey,Warehouse Worker,2014-01-05,2023-04-20,114
1777,1462,Hospitality & Tourism,Tech Inc,Romania,Janitor,2014-12-22,2019-12-26,61
1778,1462,Construction,Ceylon Co,Cyprus,Janitor,2021-08-14,2021-10-10,2
1779,1462,Engineering & Technical,Ceylon Corp,New Zealand,Janitor,2021-11-20,2024-01-31,27
1780,1463,Security Services,Tea Co,Qatar,Construction Supervisor,2012-11-03,2012-11-08,1
1781,1463,IT & Professional Services,Tech Inc,New Zealand,Construction Supervisor,2013-02-04,2013-05-14,4
1782,1463,Textile & Sewing,Tea Enterprises,Qatar,Construction Supervisor,2014-03-26,2024-04-27,123
1783,1463,Manufacturing,Construction Group,Qatar,Construction Supervisor,2024-07-20,2025-06-02,11
1784,1464,IT & Professional Services,Island Group,Bahrain,General Labourer,2011-07-06,2017-09-18,76
1785,1464,Manufacturing,Gem Co,Kuwait,General Labourer,2018-07-04,2022-11-22,54
1787,1467,Garment & Apparel,Construction Solutions,Saudi Arabia,House Driver,2014-06-29,2015-09-24,16
1788,1468,Logistics & Warehousing,Gem Group,Qatar,General Labourer,2019-11-02,2022-03-01,29
1789,1468,Garment & Apparel,Ceylon Solutions,Japan,General Labourer,2023-05-23,2025-03-17,23
1790,1470,IT & Professional Services,Construction Co,Saudi Arabia,Agricultural Worker,2012-02-02,2023-03-20,136
1791,1472,Facility Management,Sri Group,Kuwait,Delivery Driver,2017-01-21,2025-08-08,105
1792,1473,Engineering & Technical,Gem Solutions,Japan,Tailor,2011-03-16,2011-04-18,2
1793,1473,Agriculture & Fishery,Tech Plantations,Kuwait,Tailor,2011-04-30,2016-03-27,60
1794,1473,Education & Training,Ceylon Solutions,Maldives,Tailor,2018-08-27,2019-11-14,15
1795,1473,Construction,Island Pvt,Maldives,Tailor,2021-08-04,2021-08-28,1
1796,1474,Hospitality & Tourism,Construction Solutions,Saudi Arabia,Fishery Worker,2013-12-22,2020-08-13,81
1797,1474,Hospitality & Tourism,Hotel Pvt,New Zealand,Fishery Worker,2024-03-16,2024-05-20,3
1798,1475,Garment & Apparel,Lanka Ltd,Saudi Arabia,Salesperson,2016-08-04,2017-05-18,10
1799,1475,Facility Management,Ceylon Corp,Qatar,Salesperson,2017-06-24,2018-02-04,8
1800,1475,Textile & Sewing,Lanka Corp,Qatar,Salesperson,2021-04-11,2023-03-03,24
1801,1478,Domestic Services,Sri Plantations,Saudi Arabia,Kitchen Helper,2010-09-18,2010-11-07,2
1802,1478,Beauty & Personal Care,Apparel Pvt,Saudi Arabia,Kitchen Helper,2014-06-10,2017-08-25,40
1803,1479,Security Services,Apparel Inc,Malaysia,House Driver,2018-02-28,2025-06-24,90
1804,1480,Logistics & Warehousing,Construction Ltd,Kuwait,Kitchen Helper,2013-08-05,2013-10-03,2
1805,1480,Engineering & Technical,Tea Plantations,Malaysia,Kitchen Helper,2013-12-26,2017-10-07,47
1806,1480,Logistics & Warehousing,Ceylon Pvt,Singapore,Kitchen Helper,2018-12-06,2020-09-03,22
1807,1481,Healthcare & Nursing,Sri Co,United Arab Emirates,Fishery Worker,2015-01-08,2022-07-12,92
1808,1482,Hospitality & Tourism,Sri Plantations,United Arab Emirates,Sewing Machine Operator,2011-02-28,2019-03-04,98
1809,1482,Driving & Transportation,Sri Pvt,Qatar,Sewing Machine Operator,2024-05-18,2025-07-27,15
1810,1484,Hospitality & Tourism,Tech Pvt,Saudi Arabia,Accountant,2013-11-06,2015-04-03,18
1811,1484,Security Services,Tea Plantations,Turkey,Accountant,2015-06-16,2016-02-28,9
1812,1484,Driving & Transportation,Sri Inc,Kuwait,Accountant,2020-09-14,2022-10-24,26
1813,1486,Domestic Services,Island Ltd,United Arab Emirates,Caregiver,2013-09-17,2017-07-25,47
1814,1487,Domestic Services,Hotel Ltd,United Arab Emirates,Domestic Worker,2013-02-04,2013-08-18,7
1815,1487,Security Services,Gem Pvt,Qatar,Domestic Worker,2014-02-07,2014-08-22,7
1816,1489,Education & Training,Hotel Ltd,New Zealand,Construction Helper,2013-02-06,2014-07-26,18
1817,1490,IT & Professional Services,Ceylon Enterprises,Turkey,Room Attendant,2022-07-15,2023-08-09,13
1818,1490,Engineering & Technical,Tech Pvt,United Arab Emirates,Room Attendant,2024-05-28,2025-05-21,12
1819,1491,Retail & Sales,Lanka Ltd,Qatar,Nurse,2024-02-14,2024-06-30,5
1820,1492,Hospitality & Tourism,Gem Corp,Kuwait,House Driver,2011-04-25,2011-07-10,3
1821,1492,Agriculture & Fishery,Gem Co,Cyprus,House Driver,2011-07-25,2016-04-21,58
1822,1493,Beauty & Personal Care,Tea Solutions,Kuwait,Domestic Worker,2013-10-05,2015-01-29,17
1823,1493,Education & Training,Gem Ltd,Maldives,Domestic Worker,2015-03-13,2017-01-25,23
1824,1493,Agriculture & Fishery,Island Ltd,Malaysia,Domestic Worker,2018-08-12,2023-02-14,55
1826,1497,Manufacturing,Island Inc,Saudi Arabia,Welder,2019-05-09,2019-09-07,5
1827,1497,Construction,Hotel Inc,Saudi Arabia,Welder,2020-03-17,2021-09-11,19
1828,1497,Manufacturing,Tech Enterprises,Japan,Welder,2024-05-09,2025-02-18,10
1829,1499,Security Services,Sri Inc,Saudi Arabia,Delivery Driver,2012-12-10,2017-04-26,54
1830,1499,Retail & Sales,Tech Co,Jordan,Delivery Driver,2017-12-29,2021-03-10,39
1831,1499,Garment & Apparel,Construction Enterprises,Oman,Delivery Driver,2022-01-31,2022-10-23,9
1832,1499,Textile & Sewing,Lanka Ltd,Kuwait,Delivery Driver,2024-03-24,2025-06-27,16
1833,1500,Construction,Tech Solutions,Qatar,Shuttering Carpenter,2017-03-01,2019-11-24,34
1834,1500,Manufacturing,Lanka Co,Maldives,Shuttering Carpenter,2022-09-19,2022-11-17,2
1835,1501,Healthcare & Nursing,Island Enterprises,Kuwait,Caregiver,2013-06-25,2019-05-12,72
1836,1501,Healthcare & Nursing,Sri Enterprises,Qatar,Caregiver,2019-06-09,2020-06-11,13
1837,1501,Domestic Services,Gem Solutions,Kuwait,Caregiver,2021-10-27,2021-12-27,3
